context: I-I'm sorry! response:	There are all sorts of mysteries in this world,
context: Four'n' five!\All I see is a big liability to the team.\Five'n' six!\Let's give her a membership test.\Six and seven!\I see.\Seven and eight!\If we say she fails, we gracefully turn her down, and that'll be the end of it. response:	Eight and nine!
context: All I see is a big liability to the team.\Five'n' six!\Let's give her a membership test.\Six and seven!\I see.\Seven and eight!\If we say she fails, we gracefully turn her down, and that'll be the end of it.\Eight and nine! response:	Nine...
context: Five'n' six!\Let's give her a membership test.\Six and seven!\I see.\Seven and eight!\If we say she fails, we gracefully turn her down, and that'll be the end of it.\Eight and nine!\Nine... response:	Ten!
context: Let's give her a membership test.\Six and seven!\I see.\Seven and eight!\If we say she fails, we gracefully turn her down, and that'll be the end of it.\Eight and nine!\Nine...\Ten! response:	Huh?
context: Six and seven!\I see.\Seven and eight!\If we say she fails, we gracefully turn her down, and that'll be the end of it.\Eight and nine!\Nine...\Ten!\Huh? response:	A test?
context: I see.\Seven and eight!\If we say she fails, we gracefully turn her down, and that'll be the end of it.\Eight and nine!\Nine...\Ten!\Huh?\A test? response:	That's right.
context: Seven and eight!\If we say she fails, we gracefully turn her down, and that'll be the end of it.\Eight and nine!\Nine...\Ten!\Huh?\A test?\That's right. response:	Question one!
context: If we say she fails, we gracefully turn her down, and that'll be the end of it.\Eight and nine!\Nine...\Ten!\Huh?\A test?\That's right.\Question one! response:	What is necessary for baseball?
context: Eight and nine!\Nine...\Ten!\Huh?\A test?\That's right.\Question one!\What is necessary for baseball? response:	Um...
context: Nine...\Ten!\Huh?\A test?\That's right.\Question one!\What is necessary for baseball?\Um... response:	Guts!
context: Ten!\Huh?\A test?\That's right.\Question one!\What is necessary for baseball?\Um...\Guts! response:	Bravery!
context: Huh?\A test?\That's right.\Question one!\What is necessary for baseball?\Um...\Guts!\Bravery! response:	And friendship!
context: A test?\That's right.\Question one!\What is necessary for baseball?\Um...\Guts!\Bravery!\And friendship! response:	You pass!
context: That's right.\Question one!\What is necessary for baseball?\Um...\Guts!\Bravery!\And friendship!\You pass! response:	Wha
context: Question one!\What is necessary for baseball?\Um...\Guts!\Bravery!\And friendship!\You pass!\Wha response:	I'll try my best!
context: What is necessary for baseball?\Um...\Guts!\Bravery!\And friendship!\You pass!\Wha\I'll try my best! response:	Wait a moment!
context: Um...\Guts!\Bravery!\And friendship!\You pass!\Wha\I'll try my best!\Wait a moment! response:	My bad.
context: Guts!\Bravery!\And friendship!\You pass!\Wha\I'll try my best!\Wait a moment!\My bad. response:	Your words were so righteous that they rang deep in my soul.
context: Bravery!\And friendship!\You pass!\Wha\I'll try my best!\Wait a moment!\My bad.\Your words were so righteous that they rang deep in my soul. response:	Aren't these kinds of tests usually for physical aptitude?
context: And friendship!\You pass!\Wha\I'll try my best!\Wait a moment!\My bad.\Your words were so righteous that they rang deep in my soul.\Aren't these kinds of tests usually for physical aptitude? response:	Motor skills...
context: You pass!\Wha\I'll try my best!\Wait a moment!\My bad.\Your words were so righteous that they rang deep in my soul.\Aren't these kinds of tests usually for physical aptitude?\Motor skills... response:	Don't forget muscular strength!
context: Wha\I'll try my best!\Wait a moment!\My bad.\Your words were so righteous that they rang deep in my soul.\Aren't these kinds of tests usually for physical aptitude?\Motor skills...\Don't forget muscular strength! response:	I guess that's right.
context: I'll try my best!\Wait a moment!\My bad.\Your words were so righteous that they rang deep in my soul.\Aren't these kinds of tests usually for physical aptitude?\Motor skills...\Don't forget muscular strength!\I guess that's right. response:	In that case, let's start with...
context: Wait a moment!\My bad.\Your words were so righteous that they rang deep in my soul.\Aren't these kinds of tests usually for physical aptitude?\Motor skills...\Don't forget muscular strength!\I guess that's right.\In that case, let's start with... response:	A batting test.
context: My bad.\Your words were so righteous that they rang deep in my soul.\Aren't these kinds of tests usually for physical aptitude?\Motor skills...\Don't forget muscular strength!\I guess that's right.\In that case, let's start with...\A batting test. response:	Oh man, I can't bear to watch this.
context: Your words were so righteous that they rang deep in my soul.\Aren't these kinds of tests usually for physical aptitude?\Motor skills...\Don't forget muscular strength!\I guess that's right.\In that case, let's start with...\A batting test.\Oh man, I can't bear to watch this. response:	Here, let me see that.
context: Aren't these kinds of tests usually for physical aptitude?\Motor skills...\Don't forget muscular strength!\I guess that's right.\In that case, let's start with...\A batting test.\Oh man, I can't bear to watch this.\Here, let me see that. response:	I'm sorry!
context: Motor skills...\Don't forget muscular strength!\I guess that's right.\In that case, let's start with...\A batting test.\Oh man, I can't bear to watch this.\Here, let me see that.\I'm sorry! response:	A plastic bat is lighter.
context: Don't forget muscular strength!\I guess that's right.\In that case, let's start with...\A batting test.\Oh man, I can't bear to watch this.\Here, let me see that.\I'm sorry!\A plastic bat is lighter. response:	Now you shouldn't have any problems.
context: I guess that's right.\In that case, let's start with...\A batting test.\Oh man, I can't bear to watch this.\Here, let me see that.\I'm sorry!\A plastic bat is lighter.\Now you shouldn't have any problems. response:	No problem!
context: In that case, let's start with...\A batting test.\Oh man, I can't bear to watch this.\Here, let me see that.\I'm sorry!\A plastic bat is lighter.\Now you shouldn't have any problems.\No problem! response:	I'm pretty sure there is...
context: A batting test.\Oh man, I can't bear to watch this.\Here, let me see that.\I'm sorry!\A plastic bat is lighter.\Now you shouldn't have any problems.\No problem!\I'm pretty sure there is... response:	Next up, running bases!
context: Oh man, I can't bear to watch this.\Here, let me see that.\I'm sorry!\A plastic bat is lighter.\Now you shouldn't have any problems.\No problem!\I'm pretty sure there is...\Next up, running bases! response:	Finally, fielding!
context: Here, let me see that.\I'm sorry!\A plastic bat is lighter.\Now you shouldn't have any problems.\No problem!\I'm pretty sure there is...\Next up, running bases!\Finally, fielding! response:	So this is a real glove...
context: I'm sorry!\A plastic bat is lighter.\Now you shouldn't have any problems.\No problem!\I'm pretty sure there is...\Next up, running bases!\Finally, fielding!\So this is a real glove... response:	Let's do this!
context: A plastic bat is lighter.\Now you shouldn't have any problems.\No problem!\I'm pretty sure there is...\Next up, running bases!\Finally, fielding!\So this is a real glove...\Let's do this! response:	Hey, a dandelion!
context: Now you shouldn't have any problems.\No problem!\I'm pretty sure there is...\Next up, running bases!\Finally, fielding!\So this is a real glove...\Let's do this!\Hey, a dandelion! response:	She's hopeless.
context: No problem!\I'm pretty sure there is...\Next up, running bases!\Finally, fielding!\So this is a real glove...\Let's do this!\Hey, a dandelion!\She's hopeless. response:	Unfortunately...
context: I'm pretty sure there is...\Next up, running bases!\Finally, fielding!\So this is a real glove...\Let's do this!\Hey, a dandelion!\She's hopeless.\Unfortunately... response:	Alright, this is the last question.
context: Next up, running bases!\Finally, fielding!\So this is a real glove...\Let's do this!\Hey, a dandelion!\She's hopeless.\Unfortunately...\Alright, this is the last question. response:	I ask you once again.
context: Finally, fielding!\So this is a real glove...\Let's do this!\Hey, a dandelion!\She's hopeless.\Unfortunately...\Alright, this is the last question.\I ask you once again. response:	What is necessary for baseball?
context: So this is a real glove...\Let's do this!\Hey, a dandelion!\She's hopeless.\Unfortunately...\Alright, this is the last question.\I ask you once again.\What is necessary for baseball? response:	Um...
context: Let's do this!\Hey, a dandelion!\She's hopeless.\Unfortunately...\Alright, this is the last question.\I ask you once again.\What is necessary for baseball?\Um... response:	That would be...
context: Hey, a dandelion!\She's hopeless.\Unfortunately...\Alright, this is the last question.\I ask you once again.\What is necessary for baseball?\Um...\That would be... response:	Guts!
context: She's hopeless.\Unfortunately...\Alright, this is the last question.\I ask you once again.\What is necessary for baseball?\Um...\That would be...\Guts! response:	Bravery!
