context: How to contact Luna Nova? response:	What's this now? Have the seeds of love finally sprouted in your withered heart?
context: Why would Professor Ursula try to stop you without checking it first herself?\Because...\Perhaps there was some sort of reason why she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of.\What do you mean?\She says she was classmates with Chariot,\but I have no recollection of a student named Ursula.\I-It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot. response:	That may be the case.
context: Because...\Perhaps there was some sort of reason why she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of.\What do you mean?\She says she was classmates with Chariot,\but I have no recollection of a student named Ursula.\I-It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the case. response:	Either way...
context: Perhaps there was some sort of reason why she wanted to prevent you from climbing it.\There are some things about her I'm suspicious of.\What do you mean?\She says she was classmates with Chariot,\but I have no recollection of a student named Ursula.\I-It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the case.\Either way... response:	You should be wary of her.
context: There are some things about her I'm suspicious of.\What do you mean?\She says she was classmates with Chariot,\but I have no recollection of a student named Ursula.\I-It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the case.\Either way...\You should be wary of her. response:	What?
context: What do you mean?\She says she was classmates with Chariot,\but I have no recollection of a student named Ursula.\I-It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the case.\Either way...\You should be wary of her.\What? response:	She might be hiding something from you.
context: She says she was classmates with Chariot,\but I have no recollection of a student named Ursula.\I-It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the case.\Either way...\You should be wary of her.\What?\She might be hiding something from you. response:	Something very important.
context: but I have no recollection of a student named Ursula.\I-It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the case.\Either way...\You should be wary of her.\What?\She might be hiding something from you.\Something very important. response:	She was just worried because of how dangerous it is here!
context: I-It must be because she didn't leave much of an impression! Not everyone can stand out like Chariot.\That may be the case.\Either way...\You should be wary of her.\What?\She might be hiding something from you.\Something very important.\She was just worried because of how dangerous it is here! response:	I'm always doing stupid things.
context: That may be the case.\Either way...\You should be wary of her.\What?\She might be hiding something from you.\Something very important.\She was just worried because of how dangerous it is here!\I'm always doing stupid things. response:	You'll need to climb under your own power without using any tools or magic if you want to learn the Word.
context: Either way...\You should be wary of her.\What?\She might be hiding something from you.\Something very important.\She was just worried because of how dangerous it is here!\I'm always doing stupid things.\You'll need to climb under your own power without using any tools or magic if you want to learn the Word. response:	Are you prepared to do that?
context: You should be wary of her.\What?\She might be hiding something from you.\Something very important.\She was just worried because of how dangerous it is here!\I'm always doing stupid things.\You'll need to climb under your own power without using any tools or magic if you want to learn the Word.\Are you prepared to do that? response:	I am. I swear I'll make it up.
context: What?\She might be hiding something from you.\Something very important.\She was just worried because of how dangerous it is here!\I'm always doing stupid things.\You'll need to climb under your own power without using any tools or magic if you want to learn the Word.\Are you prepared to do that?\I am. I swear I'll make it up. response:	Little Witch Academia
context: She might be hiding something from you.\Something very important.\She was just worried because of how dangerous it is here!\I'm always doing stupid things.\You'll need to climb under your own power without using any tools or magic if you want to learn the Word.\Are you prepared to do that?\I am. I swear I'll make it up.\Little Witch Academia response:	Little Witch Academia
context: Something very important.\She was just worried because of how dangerous it is here!\I'm always doing stupid things.\You'll need to climb under your own power without using any tools or magic if you want to learn the Word.\Are you prepared to do that?\I am. I swear I'll make it up.\Little Witch Academia\Little Witch Academia response:	Akko...
context: She was just worried because of how dangerous it is here!\I'm always doing stupid things.\You'll need to climb under your own power without using any tools or magic if you want to learn the Word.\Are you prepared to do that?\I am. I swear I'll make it up.\Little Witch Academia\Little Witch Academia\Akko... response:	Are you there?
context: I'm always doing stupid things.\You'll need to climb under your own power without using any tools or magic if you want to learn the Word.\Are you prepared to do that?\I am. I swear I'll make it up.\Little Witch Academia\Little Witch Academia\Akko...\Are you there? response:	Croix!
