context: Hear me, humans! response:	I'll leave Ente Isla in your hands for now.
context: Potato Croquette\Air Raid! Dinner Next Door!\Let's check out this house right here!\Wow, a delicious aroma's in the air!\Methinks a feast's a'cookin'!\Ah, looks like steak's on the menu, ma'am!\Amazing! What's the occasion?\Oh my god! response:	No wonder this smelled great!
context: Air Raid! Dinner Next Door!\Let's check out this house right here!\Wow, a delicious aroma's in the air!\Methinks a feast's a'cookin'!\Ah, looks like steak's on the menu, ma'am!\Amazing! What's the occasion?\Oh my god!\No wonder this smelled great! response:	Get a load of this, cameraman!
context: Let's check out this house right here!\Wow, a delicious aroma's in the air!\Methinks a feast's a'cookin'!\Ah, looks like steak's on the menu, ma'am!\Amazing! What's the occasion?\Oh my god!\No wonder this smelled great!\Get a load of this, cameraman! response:	You picked some great slices of meat, didn't'cha?
context: Wow, a delicious aroma's in the air!\Methinks a feast's a'cookin'!\Ah, looks like steak's on the menu, ma'am!\Amazing! What's the occasion?\Oh my god!\No wonder this smelled great!\Get a load of this, cameraman!\You picked some great slices of meat, didn't'cha? response:	I bet this cost you an arm and a leg!
context: Methinks a feast's a'cookin'!\Ah, looks like steak's on the menu, ma'am!\Amazing! What's the occasion?\Oh my god!\No wonder this smelled great!\Get a load of this, cameraman!\You picked some great slices of meat, didn't'cha?\I bet this cost you an arm and a leg! response:	What?
context: Ah, looks like steak's on the menu, ma'am!\Amazing! What's the occasion?\Oh my god!\No wonder this smelled great!\Get a load of this, cameraman!\You picked some great slices of meat, didn't'cha?\I bet this cost you an arm and a leg!\What? response:	It didn't?!
context: Amazing! What's the occasion?\Oh my god!\No wonder this smelled great!\Get a load of this, cameraman!\You picked some great slices of meat, didn't'cha?\I bet this cost you an arm and a leg!\What?\It didn't?! response:	Damn it all!
context: Oh my god!\No wonder this smelled great!\Get a load of this, cameraman!\You picked some great slices of meat, didn't'cha?\I bet this cost you an arm and a leg!\What?\It didn't?!\Damn it all! response:	I'm no different from that bastard!
context: No wonder this smelled great!\Get a load of this, cameraman!\You picked some great slices of meat, didn't'cha?\I bet this cost you an arm and a leg!\What?\It didn't?!\Damn it all!\I'm no different from that bastard! response:	I'd like some more protein.
context: Get a load of this, cameraman!\You picked some great slices of meat, didn't'cha?\I bet this cost you an arm and a leg!\What?\It didn't?!\Damn it all!\I'm no different from that bastard!\I'd like some more protein. response:	But you eat hamburgers pretty much every day.
context: You picked some great slices of meat, didn't'cha?\I bet this cost you an arm and a leg!\What?\It didn't?!\Damn it all!\I'm no different from that bastard!\I'd like some more protein.\But you eat hamburgers pretty much every day. response:	That the MHK?
context: I bet this cost you an arm and a leg!\What?\It didn't?!\Damn it all!\I'm no different from that bastard!\I'd like some more protein.\But you eat hamburgers pretty much every day.\That the MHK? response:	No, they came yesterday.
context: What?\It didn't?!\Damn it all!\I'm no different from that bastard!\I'd like some more protein.\But you eat hamburgers pretty much every day.\That the MHK?\No, they came yesterday. response:	A newspaper salesman, then?
context: It didn't?!\Damn it all!\I'm no different from that bastard!\I'd like some more protein.\But you eat hamburgers pretty much every day.\That the MHK?\No, they came yesterday.\A newspaper salesman, then? response:	They should know we can't afford a newspaper subscription by now.
context: Damn it all!\I'm no different from that bastard!\I'd like some more protein.\But you eat hamburgers pretty much every day.\That the MHK?\No, they came yesterday.\A newspaper salesman, then?\They should know we can't afford a newspaper subscription by now. response:	Coming. Who might this be?
context: I'm no different from that bastard!\I'd like some more protein.\But you eat hamburgers pretty much every day.\That the MHK?\No, they came yesterday.\A newspaper salesman, then?\They should know we can't afford a newspaper subscription by now.\Coming. Who might this be? response:	Who might this be?
context: I'd like some more protein.\But you eat hamburgers pretty much every day.\That the MHK?\No, they came yesterday.\A newspaper salesman, then?\They should know we can't afford a newspaper subscription by now.\Coming. Who might this be?\Who might this be? response:	You're being awfully polite, aren't you,
context: But you eat hamburgers pretty much every day.\That the MHK?\No, they came yesterday.\A newspaper salesman, then?\They should know we can't afford a newspaper subscription by now.\Coming. Who might this be?\Who might this be?\You're being awfully polite, aren't you, response:	Demon General Alsiel?
context: That the MHK?\No, they came yesterday.\A newspaper salesman, then?\They should know we can't afford a newspaper subscription by now.\Coming. Who might this be?\Who might this be?\You're being awfully polite, aren't you,\Demon General Alsiel? response:	You can't possibly have forgotten
context: No, they came yesterday.\A newspaper salesman, then?\They should know we can't afford a newspaper subscription by now.\Coming. Who might this be?\Who might this be?\You're being awfully polite, aren't you,\Demon General Alsiel?\You can't possibly have forgotten response:	the name of Emilia the Hero!
context: A newspaper salesman, then?\They should know we can't afford a newspaper subscription by now.\Coming. Who might this be?\Who might this be?\You're being awfully polite, aren't you,\Demon General Alsiel?\You can't possibly have forgotten\the name of Emilia the Hero! response:	Hero Emilia?!
context: They should know we can't afford a newspaper subscription by now.\Coming. Who might this be?\Who might this be?\You're being awfully polite, aren't you,\Demon General Alsiel?\You can't possibly have forgotten\the name of Emilia the Hero!\Hero Emilia?! response:	Come on, open up now.
context: Coming. Who might this be?\Who might this be?\You're being awfully polite, aren't you,\Demon General Alsiel?\You can't possibly have forgotten\the name of Emilia the Hero!\Hero Emilia?!\Come on, open up now. response:	Take your judgment like a man.
context: Who might this be?\You're being awfully polite, aren't you,\Demon General Alsiel?\You can't possibly have forgotten\the name of Emilia the Hero!\Hero Emilia?!\Come on, open up now.\Take your judgment like a man. response:	Hey!
context: You're being awfully polite, aren't you,\Demon General Alsiel?\You can't possibly have forgotten\the name of Emilia the Hero!\Hero Emilia?!\Come on, open up now.\Take your judgment like a man.\Hey! response:	It's the Hero, milord!
context: Demon General Alsiel?\You can't possibly have forgotten\the name of Emilia the Hero!\Hero Emilia?!\Come on, open up now.\Take your judgment like a man.\Hey!\It's the Hero, milord! response:	Did you just lock the door?!
context: You can't possibly have forgotten\the name of Emilia the Hero!\Hero Emilia?!\Come on, open up now.\Take your judgment like a man.\Hey!\It's the Hero, milord!\Did you just lock the door?! response:	The Hero's here!
context: the name of Emilia the Hero!\Hero Emilia?!\Come on, open up now.\Take your judgment like a man.\Hey!\It's the Hero, milord!\Did you just lock the door?!\The Hero's here! response:	Hey, come on! Open up!
context: Hero Emilia?!\Come on, open up now.\Take your judgment like a man.\Hey!\It's the Hero, milord!\Did you just lock the door?!\The Hero's here!\Hey, come on! Open up! response:	Huh?
context: Come on, open up now.\Take your judgment like a man.\Hey!\It's the Hero, milord!\Did you just lock the door?!\The Hero's here!\Hey, come on! Open up!\Huh? response:	Oh yeah, I know.
context: Take your judgment like a man.\Hey!\It's the Hero, milord!\Did you just lock the door?!\The Hero's here!\Hey, come on! Open up!\Huh?\Oh yeah, I know. response:	The Overlord's in there too, isn't he?
context: Hey!\It's the Hero, milord!\Did you just lock the door?!\The Hero's here!\Hey, come on! Open up!\Huh?\Oh yeah, I know.\The Overlord's in there too, isn't he? response:	Y-You already knew she was here?
context: It's the Hero, milord!\Did you just lock the door?!\The Hero's here!\Hey, come on! Open up!\Huh?\Oh yeah, I know.\The Overlord's in there too, isn't he?\Y-You already knew she was here? response:	Just give up and open this door already!
context: Did you just lock the door?!\The Hero's here!\Hey, come on! Open up!\Huh?\Oh yeah, I know.\The Overlord's in there too, isn't he?\Y-You already knew she was here?\Just give up and open this door already! response:	Huh?
context: The Hero's here!\Hey, come on! Open up!\Huh?\Oh yeah, I know.\The Overlord's in there too, isn't he?\Y-You already knew she was here?\Just give up and open this door already!\Huh? response:	Hey, come on!
context: Hey, come on! Open up!\Huh?\Oh yeah, I know.\The Overlord's in there too, isn't he?\Y-You already knew she was here?\Just give up and open this door already!\Huh?\Hey, come on! response:	Sorry I didn't tell you about it.
context: Huh?\Oh yeah, I know.\The Overlord's in there too, isn't he?\Y-You already knew she was here?\Just give up and open this door already!\Huh?\Hey, come on!\Sorry I didn't tell you about it. response:	Open up now!
context: Oh yeah, I know.\The Overlord's in there too, isn't he?\Y-You already knew she was here?\Just give up and open this door already!\Huh?\Hey, come on!\Sorry I didn't tell you about it.\Open up now! response:	I ran into her on my way home from work last night.
context: The Overlord's in there too, isn't he?\Y-You already knew she was here?\Just give up and open this door already!\Huh?\Hey, come on!\Sorry I didn't tell you about it.\Open up now!\I ran into her on my way home from work last night. response:	You're gonna make me kick it open!
context: Y-You already knew she was here?\Just give up and open this door already!\Huh?\Hey, come on!\Sorry I didn't tell you about it.\Open up now!\I ran into her on my way home from work last night.\You're gonna make me kick it open! response:	Are you okay with that?
context: Just give up and open this door already!\Huh?\Hey, come on!\Sorry I didn't tell you about it.\Open up now!\I ran into her on my way home from work last night.\You're gonna make me kick it open!\Are you okay with that? response:	I'm really gonna do it!
context: Huh?\Hey, come on!\Sorry I didn't tell you about it.\Open up now!\I ran into her on my way home from work last night.\You're gonna make me kick it open!\Are you okay with that?\I'm really gonna do it! response:	The cops thought it was a lovers' quarrel.
context: Hey, come on!\Sorry I didn't tell you about it.\Open up now!\I ran into her on my way home from work last night.\You're gonna make me kick it open!\Are you okay with that?\I'm really gonna do it!\The cops thought it was a lovers' quarrel. response:	I'm being serious!
context: Sorry I didn't tell you about it.\Open up now!\I ran into her on my way home from work last night.\You're gonna make me kick it open!\Are you okay with that?\I'm really gonna do it!\The cops thought it was a lovers' quarrel.\I'm being serious! response:	He thought you and I were a couple!
context: Open up now!\I ran into her on my way home from work last night.\You're gonna make me kick it open!\Are you okay with that?\I'm really gonna do it!\The cops thought it was a lovers' quarrel.\I'm being serious!\He thought you and I were a couple! response:	I've never been so humiliated in my life!
context: I ran into her on my way home from work last night.\You're gonna make me kick it open!\Are you okay with that?\I'm really gonna do it!\The cops thought it was a lovers' quarrel.\I'm being serious!\He thought you and I were a couple!\I've never been so humiliated in my life! response:	Open up, damn it!
context: You're gonna make me kick it open!\Are you okay with that?\I'm really gonna do it!\The cops thought it was a lovers' quarrel.\I'm being serious!\He thought you and I were a couple!\I've never been so humiliated in my life!\Open up, damn it! response:	Why didn't you tell me about that?
context: Are you okay with that?\I'm really gonna do it!\The cops thought it was a lovers' quarrel.\I'm being serious!\He thought you and I were a couple!\I've never been so humiliated in my life!\Open up, damn it!\Why didn't you tell me about that? response:	Open the door!
context: I'm really gonna do it!\The cops thought it was a lovers' quarrel.\I'm being serious!\He thought you and I were a couple!\I've never been so humiliated in my life!\Open up, damn it!\Why didn't you tell me about that?\Open the door! response:	Nothing really happened, so I didn't think it was worth mentioning.
context: The cops thought it was a lovers' quarrel.\I'm being serious!\He thought you and I were a couple!\I've never been so humiliated in my life!\Open up, damn it!\Why didn't you tell me about that?\Open the door!\Nothing really happened, so I didn't think it was worth mentioning. response:	I'm about to go wild here! That fine with you?
context: I'm being serious!\He thought you and I were a couple!\I've never been so humiliated in my life!\Open up, damn it!\Why didn't you tell me about that?\Open the door!\Nothing really happened, so I didn't think it was worth mentioning.\I'm about to go wild here! That fine with you? response:	Besides, I think we're all in the same boat. She couldn't use her sacred powers.
context: He thought you and I were a couple!\I've never been so humiliated in my life!\Open up, damn it!\Why didn't you tell me about that?\Open the door!\Nothing really happened, so I didn't think it was worth mentioning.\I'm about to go wild here! That fine with you?\Besides, I think we're all in the same boat. She couldn't use her sacred powers. response:	Open up!
context: I've never been so humiliated in my life!\Open up, damn it!\Why didn't you tell me about that?\Open the door!\Nothing really happened, so I didn't think it was worth mentioning.\I'm about to go wild here! That fine with you?\Besides, I think we're all in the same boat. She couldn't use her sacred powers.\Open up! response:	Come on!
context: Open up, damn it!\Why didn't you tell me about that?\Open the door!\Nothing really happened, so I didn't think it was worth mentioning.\I'm about to go wild here! That fine with you?\Besides, I think we're all in the same boat. She couldn't use her sacred powers.\Open up!\Come on! response:	Does that mean the Hero has no means to harness Heaven's power in this world?
context: Why didn't you tell me about that?\Open the door!\Nothing really happened, so I didn't think it was worth mentioning.\I'm about to go wild here! That fine with you?\Besides, I think we're all in the same boat. She couldn't use her sacred powers.\Open up!\Come on!\Does that mean the Hero has no means to harness Heaven's power in this world? response:	Please!
context: Open the door!\Nothing really happened, so I didn't think it was worth mentioning.\I'm about to go wild here! That fine with you?\Besides, I think we're all in the same boat. She couldn't use her sacred powers.\Open up!\Come on!\Does that mean the Hero has no means to harness Heaven's power in this world?\Please! response:	She doesn't have the power to control the gate?
context: Nothing really happened, so I didn't think it was worth mentioning.\I'm about to go wild here! That fine with you?\Besides, I think we're all in the same boat. She couldn't use her sacred powers.\Open up!\Come on!\Does that mean the Hero has no means to harness Heaven's power in this world?\Please!\She doesn't have the power to control the gate? response:	Hey, let her in.
context: I'm about to go wild here! That fine with you?\Besides, I think we're all in the same boat. She couldn't use her sacred powers.\Open up!\Come on!\Does that mean the Hero has no means to harness Heaven's power in this world?\Please!\She doesn't have the power to control the gate?\Hey, let her in. response:	Open up...
context: Besides, I think we're all in the same boat. She couldn't use her sacred powers.\Open up!\Come on!\Does that mean the Hero has no means to harness Heaven's power in this world?\Please!\She doesn't have the power to control the gate?\Hey, let her in.\Open up... response:	What an awful apartment.
context: Open up!\Come on!\Does that mean the Hero has no means to harness Heaven's power in this world?\Please!\She doesn't have the power to control the gate?\Hey, let her in.\Open up...\What an awful apartment. response:	It's so cramped and worn out.
context: Come on!\Does that mean the Hero has no means to harness Heaven's power in this world?\Please!\She doesn't have the power to control the gate?\Hey, let her in.\Open up...\What an awful apartment.\It's so cramped and worn out. response:	I could hear your voices from a mile away.
context: Does that mean the Hero has no means to harness Heaven's power in this world?\Please!\She doesn't have the power to control the gate?\Hey, let her in.\Open up...\What an awful apartment.\It's so cramped and worn out.\I could hear your voices from a mile away. response:	Wow, quite the harsh assessment.
context: Please!\She doesn't have the power to control the gate?\Hey, let her in.\Open up...\What an awful apartment.\It's so cramped and worn out.\I could hear your voices from a mile away.\Wow, quite the harsh assessment. response:	The Castle Overlord places more importance on functionality than luxury!
context: She doesn't have the power to control the gate?\Hey, let her in.\Open up...\What an awful apartment.\It's so cramped and worn out.\I could hear your voices from a mile away.\Wow, quite the harsh assessment.\The Castle Overlord places more importance on functionality than luxury! response:	Functionality, my ass.
