context: There was a bit of a commotion in town and we got separated. response:	Calm down. If you would, please tell me what happened in more detail.
context: Seriously, Akko's a genius at making people run themselves ragged.\Sucy!\I couldn't find her at the terminal.\She's not on this side either. Maybe she's not in the area.\We should check out the plaza, just in case.\Come on.\I hate this.\I don't want Akko to go away! response:	I've never even considered the thought that Akko might leave.
context: Sucy!\I couldn't find her at the terminal.\She's not on this side either. Maybe she's not in the area.\We should check out the plaza, just in case.\Come on.\I hate this.\I don't want Akko to go away!\I've never even considered the thought that Akko might leave. response:	What should I do? If Akko never comes back...
context: I couldn't find her at the terminal.\She's not on this side either. Maybe she's not in the area.\We should check out the plaza, just in case.\Come on.\I hate this.\I don't want Akko to go away!\I've never even considered the thought that Akko might leave.\What should I do? If Akko never comes back... response:	It'll be okay.
context: She's not on this side either. Maybe she's not in the area.\We should check out the plaza, just in case.\Come on.\I hate this.\I don't want Akko to go away!\I've never even considered the thought that Akko might leave.\What should I do? If Akko never comes back...\It'll be okay. response:	Akko's an idiot.
context: We should check out the plaza, just in case.\Come on.\I hate this.\I don't want Akko to go away!\I've never even considered the thought that Akko might leave.\What should I do? If Akko never comes back...\It'll be okay.\Akko's an idiot. response:	She'd never think about anything that difficult.
context: Come on.\I hate this.\I don't want Akko to go away!\I've never even considered the thought that Akko might leave.\What should I do? If Akko never comes back...\It'll be okay.\Akko's an idiot.\She'd never think about anything that difficult. response:	Yeah...
context: I hate this.\I don't want Akko to go away!\I've never even considered the thought that Akko might leave.\What should I do? If Akko never comes back...\It'll be okay.\Akko's an idiot.\She'd never think about anything that difficult.\Yeah... response:	Don't worry. She'll come back moaning that she's hungry, like she always does.
context: I don't want Akko to go away!\I've never even considered the thought that Akko might leave.\What should I do? If Akko never comes back...\It'll be okay.\Akko's an idiot.\She'd never think about anything that difficult.\Yeah...\Don't worry. She'll come back moaning that she's hungry, like she always does. response:	Akko!
context: I've never even considered the thought that Akko might leave.\What should I do? If Akko never comes back...\It'll be okay.\Akko's an idiot.\She'd never think about anything that difficult.\Yeah...\Don't worry. She'll come back moaning that she's hungry, like she always does.\Akko! response:	Have you warmed up somewhat?
context: What should I do? If Akko never comes back...\It'll be okay.\Akko's an idiot.\She'd never think about anything that difficult.\Yeah...\Don't worry. She'll come back moaning that she's hungry, like she always does.\Akko!\Have you warmed up somewhat? response:	You must have been freezing. I was shocked to see you sitting out there in the cold.
context: It'll be okay.\Akko's an idiot.\She'd never think about anything that difficult.\Yeah...\Don't worry. She'll come back moaning that she's hungry, like she always does.\Akko!\Have you warmed up somewhat?\You must have been freezing. I was shocked to see you sitting out there in the cold. response:	I asked Professor Ursula about what happened with you and Chariot.
context: Akko's an idiot.\She'd never think about anything that difficult.\Yeah...\Don't worry. She'll come back moaning that she's hungry, like she always does.\Akko!\Have you warmed up somewhat?\You must have been freezing. I was shocked to see you sitting out there in the cold.\I asked Professor Ursula about what happened with you and Chariot. response:	Come to think of it, there was something I wanted to show you.
context: She'd never think about anything that difficult.\Yeah...\Don't worry. She'll come back moaning that she's hungry, like she always does.\Akko!\Have you warmed up somewhat?\You must have been freezing. I was shocked to see you sitting out there in the cold.\I asked Professor Ursula about what happened with you and Chariot.\Come to think of it, there was something I wanted to show you. response:	The Chariot premium card...
context: Yeah...\Don't worry. She'll come back moaning that she's hungry, like she always does.\Akko!\Have you warmed up somewhat?\You must have been freezing. I was shocked to see you sitting out there in the cold.\I asked Professor Ursula about what happened with you and Chariot.\Come to think of it, there was something I wanted to show you.\The Chariot premium card... response:	I believe you were collecting them as well.
context: Don't worry. She'll come back moaning that she's hungry, like she always does.\Akko!\Have you warmed up somewhat?\You must have been freezing. I was shocked to see you sitting out there in the cold.\I asked Professor Ursula about what happened with you and Chariot.\Come to think of it, there was something I wanted to show you.\The Chariot premium card...\I believe you were collecting them as well. response:	Why do you have this?
context: Akko!\Have you warmed up somewhat?\You must have been freezing. I was shocked to see you sitting out there in the cold.\I asked Professor Ursula about what happened with you and Chariot.\Come to think of it, there was something I wanted to show you.\The Chariot premium card...\I believe you were collecting them as well.\Why do you have this? response:	Because I used to look up to Shiny Chariot as a child too.
context: Have you warmed up somewhat?\You must have been freezing. I was shocked to see you sitting out there in the cold.\I asked Professor Ursula about what happened with you and Chariot.\Come to think of it, there was something I wanted to show you.\The Chariot premium card...\I believe you were collecting them as well.\Why do you have this?\Because I used to look up to Shiny Chariot as a child too. response:	Huh? You looked up to her?
