context: There are several rules you must follow while traveling outside of Luna Nova. response:	Just because you will not be on campus does not mean you may forget your status as students.
context: Aye, such a pleasant surprise. You witchfolk brought me back to life!\Who?\Who? You mean me? I'm...\Who am I?\Who was I while alive? I can't remember a single thing!\And there's no point in trying to remember now!\Being back to life is plenty fine for me!\So how's my body? I've got two legs, two arms, and a head. response:	I have no hat! Where's my hat?!
context: Who?\Who? You mean me? I'm...\Who am I?\Who was I while alive? I can't remember a single thing!\And there's no point in trying to remember now!\Being back to life is plenty fine for me!\So how's my body? I've got two legs, two arms, and a head.\I have no hat! Where's my hat?! response:	Ah, there it is.
context: Who? You mean me? I'm...\Who am I?\Who was I while alive? I can't remember a single thing!\And there's no point in trying to remember now!\Being back to life is plenty fine for me!\So how's my body? I've got two legs, two arms, and a head.\I have no hat! Where's my hat?!\Ah, there it is. response:	I'll slice him in two, like I did with this tomb!
context: Who am I?\Who was I while alive? I can't remember a single thing!\And there's no point in trying to remember now!\Being back to life is plenty fine for me!\So how's my body? I've got two legs, two arms, and a head.\I have no hat! Where's my hat?!\Ah, there it is.\I'll slice him in two, like I did with this tomb! response:	The time for my revenge has come! Revenge!
context: Who was I while alive? I can't remember a single thing!\And there's no point in trying to remember now!\Being back to life is plenty fine for me!\So how's my body? I've got two legs, two arms, and a head.\I have no hat! Where's my hat?!\Ah, there it is.\I'll slice him in two, like I did with this tomb!\The time for my revenge has come! Revenge! response:	Wh-What just happened?
context: And there's no point in trying to remember now!\Being back to life is plenty fine for me!\So how's my body? I've got two legs, two arms, and a head.\I have no hat! Where's my hat?!\Ah, there it is.\I'll slice him in two, like I did with this tomb!\The time for my revenge has come! Revenge!\Wh-What just happened? response:	Is this okay?
context: Being back to life is plenty fine for me!\So how's my body? I've got two legs, two arms, and a head.\I have no hat! Where's my hat?!\Ah, there it is.\I'll slice him in two, like I did with this tomb!\The time for my revenge has come! Revenge!\Wh-What just happened?\Is this okay? response:	You letting it go.
context: So how's my body? I've got two legs, two arms, and a head.\I have no hat! Where's my hat?!\Ah, there it is.\I'll slice him in two, like I did with this tomb!\The time for my revenge has come! Revenge!\Wh-What just happened?\Is this okay?\You letting it go. response:	S-Stop!
context: I have no hat! Where's my hat?!\Ah, there it is.\I'll slice him in two, like I did with this tomb!\The time for my revenge has come! Revenge!\Wh-What just happened?\Is this okay?\You letting it go.\S-Stop! response:	How did this even happen?
context: Ah, there it is.\I'll slice him in two, like I did with this tomb!\The time for my revenge has come! Revenge!\Wh-What just happened?\Is this okay?\You letting it go.\S-Stop!\How did this even happen? response:	Your magic and Sucy's mushroom must've blended together to make him rise from his grave!
context: I'll slice him in two, like I did with this tomb!\The time for my revenge has come! Revenge!\Wh-What just happened?\Is this okay?\You letting it go.\S-Stop!\How did this even happen?\Your magic and Sucy's mushroom must've blended together to make him rise from his grave! response:	You mean we revived some dead guy? Isn't that the super bad thing?
context: The time for my revenge has come! Revenge!\Wh-What just happened?\Is this okay?\You letting it go.\S-Stop!\How did this even happen?\Your magic and Sucy's mushroom must've blended together to make him rise from his grave!\You mean we revived some dead guy? Isn't that the super bad thing? response:	Foraen Mugrowna!
context: Wh-What just happened?\Is this okay?\You letting it go.\S-Stop!\How did this even happen?\Your magic and Sucy's mushroom must've blended together to make him rise from his grave!\You mean we revived some dead guy? Isn't that the super bad thing?\Foraen Mugrowna! response:	Got him!
context: Is this okay?\You letting it go.\S-Stop!\How did this even happen?\Your magic and Sucy's mushroom must've blended together to make him rise from his grave!\You mean we revived some dead guy? Isn't that the super bad thing?\Foraen Mugrowna!\Got him! response:	It's no good, my battery ran out.
context: You letting it go.\S-Stop!\How did this even happen?\Your magic and Sucy's mushroom must've blended together to make him rise from his grave!\You mean we revived some dead guy? Isn't that the super bad thing?\Foraen Mugrowna!\Got him!\It's no good, my battery ran out. response:	Come on...
context: S-Stop!\How did this even happen?\Your magic and Sucy's mushroom must've blended together to make him rise from his grave!\You mean we revived some dead guy? Isn't that the super bad thing?\Foraen Mugrowna!\Got him!\It's no good, my battery ran out.\Come on... response:	And hey, why aren't you running, Sucy?
context: How did this even happen?\Your magic and Sucy's mushroom must've blended together to make him rise from his grave!\You mean we revived some dead guy? Isn't that the super bad thing?\Foraen Mugrowna!\Got him!\It's no good, my battery ran out.\Come on...\And hey, why aren't you running, Sucy? response:	I figured we could just leave him be.
context: Your magic and Sucy's mushroom must've blended together to make him rise from his grave!\You mean we revived some dead guy? Isn't that the super bad thing?\Foraen Mugrowna!\Got him!\It's no good, my battery ran out.\Come on...\And hey, why aren't you running, Sucy?\I figured we could just leave him be. response:	The grave blusher's effect should wear off by sundown.
context: You mean we revived some dead guy? Isn't that the super bad thing?\Foraen Mugrowna!\Got him!\It's no good, my battery ran out.\Come on...\And hey, why aren't you running, Sucy?\I figured we could just leave him be.\The grave blusher's effect should wear off by sundown. response:	Really?
context: Foraen Mugrowna!\Got him!\It's no good, my battery ran out.\Come on...\And hey, why aren't you running, Sucy?\I figured we could just leave him be.\The grave blusher's effect should wear off by sundown.\Really? response:	But he could still attack someone before that happens.
context: Got him!\It's no good, my battery ran out.\Come on...\And hey, why aren't you running, Sucy?\I figured we could just leave him be.\The grave blusher's effect should wear off by sundown.\Really?\But he could still attack someone before that happens. response:	What's the punishment for bringing the dead back to life again?
context: It's no good, my battery ran out.\Come on...\And hey, why aren't you running, Sucy?\I figured we could just leave him be.\The grave blusher's effect should wear off by sundown.\Really?\But he could still attack someone before that happens.\What's the punishment for bringing the dead back to life again? response:	The most agonizing and scary thing you can imagine?
context: Come on...\And hey, why aren't you running, Sucy?\I figured we could just leave him be.\The grave blusher's effect should wear off by sundown.\Really?\But he could still attack someone before that happens.\What's the punishment for bringing the dead back to life again?\The most agonizing and scary thing you can imagine? response:	It will be one hundred times as terrible as that.
context: And hey, why aren't you running, Sucy?\I figured we could just leave him be.\The grave blusher's effect should wear off by sundown.\Really?\But he could still attack someone before that happens.\What's the punishment for bringing the dead back to life again?\The most agonizing and scary thing you can imagine?\It will be one hundred times as terrible as that. response:	No, no, no, no!
context: I figured we could just leave him be.\The grave blusher's effect should wear off by sundown.\Really?\But he could still attack someone before that happens.\What's the punishment for bringing the dead back to life again?\The most agonizing and scary thing you can imagine?\It will be one hundred times as terrible as that.\No, no, no, no! response:	Wh-Wh-Wh-What should we do?!
context: The grave blusher's effect should wear off by sundown.\Really?\But he could still attack someone before that happens.\What's the punishment for bringing the dead back to life again?\The most agonizing and scary thing you can imagine?\It will be one hundred times as terrible as that.\No, no, no, no!\Wh-Wh-Wh-What should we do?! response:	We've gotta catch him quick!
context: Really?\But he could still attack someone before that happens.\What's the punishment for bringing the dead back to life again?\The most agonizing and scary thing you can imagine?\It will be one hundred times as terrible as that.\No, no, no, no!\Wh-Wh-Wh-What should we do?!\We've gotta catch him quick! response:	Why's a dead guy gotta be so fast?
context: But he could still attack someone before that happens.\What's the punishment for bringing the dead back to life again?\The most agonizing and scary thing you can imagine?\It will be one hundred times as terrible as that.\No, no, no, no!\Wh-Wh-Wh-What should we do?!\We've gotta catch him quick!\Why's a dead guy gotta be so fast? response:	Over there!
context: What's the punishment for bringing the dead back to life again?\The most agonizing and scary thing you can imagine?\It will be one hundred times as terrible as that.\No, no, no, no!\Wh-Wh-Wh-What should we do?!\We've gotta catch him quick!\Why's a dead guy gotta be so fast?\Over there! response:	Is it you?! Is it you?! Is it you?! Is it you?!
context: The most agonizing and scary thing you can imagine?\It will be one hundred times as terrible as that.\No, no, no, no!\Wh-Wh-Wh-What should we do?!\We've gotta catch him quick!\Why's a dead guy gotta be so fast?\Over there!\Is it you?! Is it you?! Is it you?! Is it you?! response:	You're kidding...
