context: Gods from across the country gather at the Divine Assembly in Izumo. response:	There's a decent chance one of those gods knows Mikage's whereabouts.
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Ah, that reminds me.
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Ah, that reminds me. response:	We took something called a photograph the other day.
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Ah, that reminds me.\We took something called a photograph the other day. response:	And I am handing them out to those I consider close friends.
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Ah, that reminds me.\We took something called a photograph the other day.\And I am handing them out to those I consider close friends. response:	Kotarou
