context: Would you go to Europe together with me? response:	Why do I have to study to the point of doing all those things?
context: And at that time too,\she also diverted her eyes away...\In the competition..\playing the piano on the stage,\really, didn't you enjoy it?\She too...\actually...\Noda Megumi response:	Is it Nodame?
context: she also diverted her eyes away...\In the competition..\playing the piano on the stage,\really, didn't you enjoy it?\She too...\actually...\Noda Megumi\Is it Nodame? response:	Yes, it's Nodame.
context: In the competition..\playing the piano on the stage,\really, didn't you enjoy it?\She too...\actually...\Noda Megumi\Is it Nodame?\Yes, it's Nodame. response:	You! Where are you now?
context: playing the piano on the stage,\really, didn't you enjoy it?\She too...\actually...\Noda Megumi\Is it Nodame?\Yes, it's Nodame.\You! Where are you now? response:	Eh? I'm in my hometown.
context: really, didn't you enjoy it?\She too...\actually...\Noda Megumi\Is it Nodame?\Yes, it's Nodame.\You! Where are you now?\Eh? I'm in my hometown. response:	Ah good!
context: She too...\actually...\Noda Megumi\Is it Nodame?\Yes, it's Nodame.\You! Where are you now?\Eh? I'm in my hometown.\Ah good! response:	So Senpai is still in Japan...
context: actually...\Noda Megumi\Is it Nodame?\Yes, it's Nodame.\You! Where are you now?\Eh? I'm in my hometown.\Ah good!\So Senpai is still in Japan... response:	You..
context: Noda Megumi\Is it Nodame?\Yes, it's Nodame.\You! Where are you now?\Eh? I'm in my hometown.\Ah good!\So Senpai is still in Japan...\You.. response:	Right now where do you think I...
context: Is it Nodame?\Yes, it's Nodame.\You! Where are you now?\Eh? I'm in my hometown.\Ah good!\So Senpai is still in Japan...\You..\Right now where do you think I... response:	And then Senpai...
context: Yes, it's Nodame.\You! Where are you now?\Eh? I'm in my hometown.\Ah good!\So Senpai is still in Japan...\You..\Right now where do you think I...\And then Senpai... response:	Nodame decided to study abroad too!
context: You! Where are you now?\Eh? I'm in my hometown.\Ah good!\So Senpai is still in Japan...\You..\Right now where do you think I...\And then Senpai...\Nodame decided to study abroad too! response:	Mukya!
context: Eh? I'm in my hometown.\Ah good!\So Senpai is still in Japan...\You..\Right now where do you think I...\And then Senpai...\Nodame decided to study abroad too!\Mukya! response:	Opposite direction!
context: Ah good!\So Senpai is still in Japan...\You..\Right now where do you think I...\And then Senpai...\Nodame decided to study abroad too!\Mukya!\Opposite direction! response:	U-Turn!!
context: So Senpai is still in Japan...\You..\Right now where do you think I...\And then Senpai...\Nodame decided to study abroad too!\Mukya!\Opposite direction!\U-Turn!! response:	But it's still...
context: You..\Right now where do you think I...\And then Senpai...\Nodame decided to study abroad too!\Mukya!\Opposite direction!\U-Turn!!\But it's still... response:	Never mind, stop here!
context: Right now where do you think I...\And then Senpai...\Nodame decided to study abroad too!\Mukya!\Opposite direction!\U-Turn!!\But it's still...\Never mind, stop here! response:	Oppose? Senpai opposes to it?
context: And then Senpai...\Nodame decided to study abroad too!\Mukya!\Opposite direction!\U-Turn!!\But it's still...\Never mind, stop here!\Oppose? Senpai opposes to it? response:	But Senpai yourself said that for Nodame, the school abroad is more suitable...
context: Nodame decided to study abroad too!\Mukya!\Opposite direction!\U-Turn!!\But it's still...\Never mind, stop here!\Oppose? Senpai opposes to it?\But Senpai yourself said that for Nodame, the school abroad is more suitable... response:	About that..
context: Mukya!\Opposite direction!\U-Turn!!\But it's still...\Never mind, stop here!\Oppose? Senpai opposes to it?\But Senpai yourself said that for Nodame, the school abroad is more suitable...\About that.. response:	Are you really serious when saying it?
context: Opposite direction!\U-Turn!!\But it's still...\Never mind, stop here!\Oppose? Senpai opposes to it?\But Senpai yourself said that for Nodame, the school abroad is more suitable...\About that..\Are you really serious when saying it? response:	Yes!
context: U-Turn!!\But it's still...\Never mind, stop here!\Oppose? Senpai opposes to it?\But Senpai yourself said that for Nodame, the school abroad is more suitable...\About that..\Are you really serious when saying it?\Yes! response:	There's a message from Eto Sensei,
context: But it's still...\Never mind, stop here!\Oppose? Senpai opposes to it?\But Senpai yourself said that for Nodame, the school abroad is more suitable...\About that..\Are you really serious when saying it?\Yes!\There's a message from Eto Sensei, response:	and he told me that a gentleman called Auclair-san recommended me to a school over there.
context: Never mind, stop here!\Oppose? Senpai opposes to it?\But Senpai yourself said that for Nodame, the school abroad is more suitable...\About that..\Are you really serious when saying it?\Yes!\There's a message from Eto Sensei,\and he told me that a gentleman called Auclair-san recommended me to a school over there. response:	In what country will your school be?
context: Oppose? Senpai opposes to it?\But Senpai yourself said that for Nodame, the school abroad is more suitable...\About that..\Are you really serious when saying it?\Yes!\There's a message from Eto Sensei,\and he told me that a gentleman called Auclair-san recommended me to a school over there.\In what country will your school be? response:	Umm...France!
context: But Senpai yourself said that for Nodame, the school abroad is more suitable...\About that..\Are you really serious when saying it?\Yes!\There's a message from Eto Sensei,\and he told me that a gentleman called Auclair-san recommended me to a school over there.\In what country will your school be?\Umm...France! response:	France? Conservatoire?
context: About that..\Are you really serious when saying it?\Yes!\There's a message from Eto Sensei,\and he told me that a gentleman called Auclair-san recommended me to a school over there.\In what country will your school be?\Umm...France!\France? Conservatoire? response:	Yes.
context: Are you really serious when saying it?\Yes!\There's a message from Eto Sensei,\and he told me that a gentleman called Auclair-san recommended me to a school over there.\In what country will your school be?\Umm...France!\France? Conservatoire?\Yes. response:	But from now on I will still have to take an exam
context: Yes!\There's a message from Eto Sensei,\and he told me that a gentleman called Auclair-san recommended me to a school over there.\In what country will your school be?\Umm...France!\France? Conservatoire?\Yes.\But from now on I will still have to take an exam response:	and it might be a different country from where Senpai is going to go...
context: There's a message from Eto Sensei,\and he told me that a gentleman called Auclair-san recommended me to a school over there.\In what country will your school be?\Umm...France!\France? Conservatoire?\Yes.\But from now on I will still have to take an exam\and it might be a different country from where Senpai is going to go... response:	But Nodame will do my best studying piano!
context: and he told me that a gentleman called Auclair-san recommended me to a school over there.\In what country will your school be?\Umm...France!\France? Conservatoire?\Yes.\But from now on I will still have to take an exam\and it might be a different country from where Senpai is going to go...\But Nodame will do my best studying piano! response:	If I do that, then someday...
context: In what country will your school be?\Umm...France!\France? Conservatoire?\Yes.\But from now on I will still have to take an exam\and it might be a different country from where Senpai is going to go...\But Nodame will do my best studying piano!\If I do that, then someday... response:	just like Milch and Senpai...
context: Umm...France!\France? Conservatoire?\Yes.\But from now on I will still have to take an exam\and it might be a different country from where Senpai is going to go...\But Nodame will do my best studying piano!\If I do that, then someday...\just like Milch and Senpai... response:	perhaps I can perform a concerto on the same stage as you.
context: France? Conservatoire?\Yes.\But from now on I will still have to take an exam\and it might be a different country from where Senpai is going to go...\But Nodame will do my best studying piano!\If I do that, then someday...\just like Milch and Senpai...\perhaps I can perform a concerto on the same stage as you. response:	Chiaki Senpai will be the Conductor,
context: Yes.\But from now on I will still have to take an exam\and it might be a different country from where Senpai is going to go...\But Nodame will do my best studying piano!\If I do that, then someday...\just like Milch and Senpai...\perhaps I can perform a concerto on the same stage as you.\Chiaki Senpai will be the Conductor, response:	Nodame will play the piano,
context: But from now on I will still have to take an exam\and it might be a different country from where Senpai is going to go...\But Nodame will do my best studying piano!\If I do that, then someday...\just like Milch and Senpai...\perhaps I can perform a concerto on the same stage as you.\Chiaki Senpai will be the Conductor,\Nodame will play the piano, response:	performing in Philadelphia Orchestra.
context: and it might be a different country from where Senpai is going to go...\But Nodame will do my best studying piano!\If I do that, then someday...\just like Milch and Senpai...\perhaps I can perform a concerto on the same stage as you.\Chiaki Senpai will be the Conductor,\Nodame will play the piano,\performing in Philadelphia Orchestra. response:	That performance will be a great success,
context: But Nodame will do my best studying piano!\If I do that, then someday...\just like Milch and Senpai...\perhaps I can perform a concerto on the same stage as you.\Chiaki Senpai will be the Conductor,\Nodame will play the piano,\performing in Philadelphia Orchestra.\That performance will be a great success, response:	and from all over the world there will come requests for Senpai and Nodame, the Golden Pair, to perform!
context: If I do that, then someday...\just like Milch and Senpai...\perhaps I can perform a concerto on the same stage as you.\Chiaki Senpai will be the Conductor,\Nodame will play the piano,\performing in Philadelphia Orchestra.\That performance will be a great success,\and from all over the world there will come requests for Senpai and Nodame, the Golden Pair, to perform! response:	Ah right!
