context: Master. response:	I cleaned up the elixir cauldron chamber.
context: She had me locked me in a water cell\so I spent my birthday in there that year.\How unforgettable.\Really? Did that happen?\Let's not talk about someone\who's already in the realm of nothingness.\I was wrong to bring her up.\I'll punish myself with a cup of wine. response:	Old Phoenix, tell me about Lord Dong Hua's past.
context: so I spent my birthday in there that year.\How unforgettable.\Really? Did that happen?\Let's not talk about someone\who's already in the realm of nothingness.\I was wrong to bring her up.\I'll punish myself with a cup of wine.\Old Phoenix, tell me about Lord Dong Hua's past. response:	Dong Hua?
context: How unforgettable.\Really? Did that happen?\Let's not talk about someone\who's already in the realm of nothingness.\I was wrong to bring her up.\I'll punish myself with a cup of wine.\Old Phoenix, tell me about Lord Dong Hua's past.\Dong Hua? response:	He's even worse than Mo Yuan in terms of celibacy.
context: Really? Did that happen?\Let's not talk about someone\who's already in the realm of nothingness.\I was wrong to bring her up.\I'll punish myself with a cup of wine.\Old Phoenix, tell me about Lord Dong Hua's past.\Dong Hua?\He's even worse than Mo Yuan in terms of celibacy. response:	Why is he said to be celibate again?
context: Let's not talk about someone\who's already in the realm of nothingness.\I was wrong to bring her up.\I'll punish myself with a cup of wine.\Old Phoenix, tell me about Lord Dong Hua's past.\Dong Hua?\He's even worse than Mo Yuan in terms of celibacy.\Why is he said to be celibate again? response:	Xiao Jiu.
context: who's already in the realm of nothingness.\I was wrong to bring her up.\I'll punish myself with a cup of wine.\Old Phoenix, tell me about Lord Dong Hua's past.\Dong Hua?\He's even worse than Mo Yuan in terms of celibacy.\Why is he said to be celibate again?\Xiao Jiu. response:	You have to get this straight.
context: I was wrong to bring her up.\I'll punish myself with a cup of wine.\Old Phoenix, tell me about Lord Dong Hua's past.\Dong Hua?\He's even worse than Mo Yuan in terms of celibacy.\Why is he said to be celibate again?\Xiao Jiu.\You have to get this straight. response:	The man you're in love with was once the God of Heaven and Earth.
context: I'll punish myself with a cup of wine.\Old Phoenix, tell me about Lord Dong Hua's past.\Dong Hua?\He's even worse than Mo Yuan in terms of celibacy.\Why is he said to be celibate again?\Xiao Jiu.\You have to get this straight.\The man you're in love with was once the God of Heaven and Earth. response:	He's a remarkable man.
context: Old Phoenix, tell me about Lord Dong Hua's past.\Dong Hua?\He's even worse than Mo Yuan in terms of celibacy.\Why is he said to be celibate again?\Xiao Jiu.\You have to get this straight.\The man you're in love with was once the God of Heaven and Earth.\He's a remarkable man. response:	Anyway, I'm quite impressed by you.
context: Dong Hua?\He's even worse than Mo Yuan in terms of celibacy.\Why is he said to be celibate again?\Xiao Jiu.\You have to get this straight.\The man you're in love with was once the God of Heaven and Earth.\He's a remarkable man.\Anyway, I'm quite impressed by you. response:	Of all man, you had to choose him.
context: He's even worse than Mo Yuan in terms of celibacy.\Why is he said to be celibate again?\Xiao Jiu.\You have to get this straight.\The man you're in love with was once the God of Heaven and Earth.\He's a remarkable man.\Anyway, I'm quite impressed by you.\Of all man, you had to choose him. response:	You're not to criticize him.
context: Why is he said to be celibate again?\Xiao Jiu.\You have to get this straight.\The man you're in love with was once the God of Heaven and Earth.\He's a remarkable man.\Anyway, I'm quite impressed by you.\Of all man, you had to choose him.\You're not to criticize him. response:	Your little lady is nowhere near as good a drinker as you are.
context: Xiao Jiu.\You have to get this straight.\The man you're in love with was once the God of Heaven and Earth.\He's a remarkable man.\Anyway, I'm quite impressed by you.\Of all man, you had to choose him.\You're not to criticize him.\Your little lady is nowhere near as good a drinker as you are. response:	It's good that she can't drink so she gets drunk faster.
context: You have to get this straight.\The man you're in love with was once the God of Heaven and Earth.\He's a remarkable man.\Anyway, I'm quite impressed by you.\Of all man, you had to choose him.\You're not to criticize him.\Your little lady is nowhere near as good a drinker as you are.\It's good that she can't drink so she gets drunk faster. response:	But Zhe Yan, do you know why Lord Dong Hua stays celibate?
context: The man you're in love with was once the God of Heaven and Earth.\He's a remarkable man.\Anyway, I'm quite impressed by you.\Of all man, you had to choose him.\You're not to criticize him.\Your little lady is nowhere near as good a drinker as you are.\It's good that she can't drink so she gets drunk faster.\But Zhe Yan, do you know why Lord Dong Hua stays celibate? response:	It's for the sake of all realms.
context: He's a remarkable man.\Anyway, I'm quite impressed by you.\Of all man, you had to choose him.\You're not to criticize him.\Your little lady is nowhere near as good a drinker as you are.\It's good that she can't drink so she gets drunk faster.\But Zhe Yan, do you know why Lord Dong Hua stays celibate?\It's for the sake of all realms. response:	Exactly.
context: Anyway, I'm quite impressed by you.\Of all man, you had to choose him.\You're not to criticize him.\Your little lady is nowhere near as good a drinker as you are.\It's good that she can't drink so she gets drunk faster.\But Zhe Yan, do you know why Lord Dong Hua stays celibate?\It's for the sake of all realms.\Exactly. response:	It's for the sake of all the realms.
context: Of all man, you had to choose him.\You're not to criticize him.\Your little lady is nowhere near as good a drinker as you are.\It's good that she can't drink so she gets drunk faster.\But Zhe Yan, do you know why Lord Dong Hua stays celibate?\It's for the sake of all realms.\Exactly.\It's for the sake of all the realms. response:	When I came here with Yan Zhi a few days ago
context: You're not to criticize him.\Your little lady is nowhere near as good a drinker as you are.\It's good that she can't drink so she gets drunk faster.\But Zhe Yan, do you know why Lord Dong Hua stays celibate?\It's for the sake of all realms.\Exactly.\It's for the sake of all the realms.\When I came here with Yan Zhi a few days ago response:	I could still head up the mountain freely.
context: Your little lady is nowhere near as good a drinker as you are.\It's good that she can't drink so she gets drunk faster.\But Zhe Yan, do you know why Lord Dong Hua stays celibate?\It's for the sake of all realms.\Exactly.\It's for the sake of all the realms.\When I came here with Yan Zhi a few days ago\I could still head up the mountain freely. response:	Now that the divine energy is here, it's so hard for me to get close.
context: It's good that she can't drink so she gets drunk faster.\But Zhe Yan, do you know why Lord Dong Hua stays celibate?\It's for the sake of all realms.\Exactly.\It's for the sake of all the realms.\When I came here with Yan Zhi a few days ago\I could still head up the mountain freely.\Now that the divine energy is here, it's so hard for me to get close. response:	This means that High God Mo Yuan has been restored to his body.
