context: Five... response:	Four...
context: Now, then.\Shall we continue our If I do this with someone I love, my heart will race situations?\We should. After doing the wall slam we should...\I have no idea.\Romantic Experience: Zero.\At times like these, we should look it up on the Internet.\Information on the Internet comes from unverified sources. I don't like it.\But I suppose we have no choice. response:	Experiment 1
context: Shall we continue our If I do this with someone I love, my heart will race situations?\We should. After doing the wall slam we should...\I have no idea.\Romantic Experience: Zero.\At times like these, we should look it up on the Internet.\Information on the Internet comes from unverified sources. I don't like it.\But I suppose we have no choice.\Experiment 1 response:	The chin-lift.
context: We should. After doing the wall slam we should...\I have no idea.\Romantic Experience: Zero.\At times like these, we should look it up on the Internet.\Information on the Internet comes from unverified sources. I don't like it.\But I suppose we have no choice.\Experiment 1\The chin-lift. response:	Chin-lift.
context: I have no idea.\Romantic Experience: Zero.\At times like these, we should look it up on the Internet.\Information on the Internet comes from unverified sources. I don't like it.\But I suppose we have no choice.\Experiment 1\The chin-lift.\Chin-lift. response:	The ideal angle seems to be between 30 and 40 degrees.
context: Romantic Experience: Zero.\At times like these, we should look it up on the Internet.\Information on the Internet comes from unverified sources. I don't like it.\But I suppose we have no choice.\Experiment 1\The chin-lift.\Chin-lift.\The ideal angle seems to be between 30 and 40 degrees. response:	This is the same technique used in artificial respiration.
context: At times like these, we should look it up on the Internet.\Information on the Internet comes from unverified sources. I don't like it.\But I suppose we have no choice.\Experiment 1\The chin-lift.\Chin-lift.\The ideal angle seems to be between 30 and 40 degrees.\This is the same technique used in artificial respiration. response:	Perhaps securing the airway is one of the objectives.
context: Information on the Internet comes from unverified sources. I don't like it.\But I suppose we have no choice.\Experiment 1\The chin-lift.\Chin-lift.\The ideal angle seems to be between 30 and 40 degrees.\This is the same technique used in artificial respiration.\Perhaps securing the airway is one of the objectives. response:	Experiment 2
context: But I suppose we have no choice.\Experiment 1\The chin-lift.\Chin-lift.\The ideal angle seems to be between 30 and 40 degrees.\This is the same technique used in artificial respiration.\Perhaps securing the airway is one of the objectives.\Experiment 2 response:	The sleeve-roll.
context: Experiment 1\The chin-lift.\Chin-lift.\The ideal angle seems to be between 30 and 40 degrees.\This is the same technique used in artificial respiration.\Perhaps securing the airway is one of the objectives.\Experiment 2\The sleeve-roll. response:	Sleeve-roll.
context: The chin-lift.\Chin-lift.\The ideal angle seems to be between 30 and 40 degrees.\This is the same technique used in artificial respiration.\Perhaps securing the airway is one of the objectives.\Experiment 2\The sleeve-roll.\Sleeve-roll. response:	Stand behind someone and roll their sleeves up...?
context: Chin-lift.\The ideal angle seems to be between 30 and 40 degrees.\This is the same technique used in artificial respiration.\Perhaps securing the airway is one of the objectives.\Experiment 2\The sleeve-roll.\Sleeve-roll.\Stand behind someone and roll their sleeves up...? response:	What significance could this action possibly have?
context: The ideal angle seems to be between 30 and 40 degrees.\This is the same technique used in artificial respiration.\Perhaps securing the airway is one of the objectives.\Experiment 2\The sleeve-roll.\Sleeve-roll.\Stand behind someone and roll their sleeves up...?\What significance could this action possibly have? response:	But there are very precise accounts of a height differential of 23 cm being ideal.
context: This is the same technique used in artificial respiration.\Perhaps securing the airway is one of the objectives.\Experiment 2\The sleeve-roll.\Sleeve-roll.\Stand behind someone and roll their sleeves up...?\What significance could this action possibly have?\But there are very precise accounts of a height differential of 23 cm being ideal. response:	Approx. 23 cm
context: Perhaps securing the airway is one of the objectives.\Experiment 2\The sleeve-roll.\Sleeve-roll.\Stand behind someone and roll their sleeves up...?\What significance could this action possibly have?\But there are very precise accounts of a height differential of 23 cm being ideal.\Approx. 23 cm response:	Yukimura's weight distribution
context: Experiment 2\The sleeve-roll.\Sleeve-roll.\Stand behind someone and roll their sleeves up...?\What significance could this action possibly have?\But there are very precise accounts of a height differential of 23 cm being ideal.\Approx. 23 cm\Yukimura's weight distribution response:	It's possible this action has solid academic corroboration.
context: The sleeve-roll.\Sleeve-roll.\Stand behind someone and roll their sleeves up...?\What significance could this action possibly have?\But there are very precise accounts of a height differential of 23 cm being ideal.\Approx. 23 cm\Yukimura's weight distribution\It's possible this action has solid academic corroboration. response:	Hmm... What else...
context: Sleeve-roll.\Stand behind someone and roll their sleeves up...?\What significance could this action possibly have?\But there are very precise accounts of a height differential of 23 cm being ideal.\Approx. 23 cm\Yukimura's weight distribution\It's possible this action has solid academic corroboration.\Hmm... What else... response:	Sweet potato fries?
context: Stand behind someone and roll their sleeves up...?\What significance could this action possibly have?\But there are very precise accounts of a height differential of 23 cm being ideal.\Approx. 23 cm\Yukimura's weight distribution\It's possible this action has solid academic corroboration.\Hmm... What else...\Sweet potato fries? response:	We would need sweet potato fries to try this one.
