context: I finally made it to the magic academy, Luna Nova! response:	You only told us about a hundred times last night.
context: Is anybody able to read what I have written on the board?\Miss Cavendish.\Fortune to she who lets the stone rest.\A curse upon she who does not.\That was splendid, Diana Cavendish.\For as long as I have been a teacher here, you are the first person able to read this.\I knew Diana could do it.\The more you stir, the further the color changes. response:	Then add a lively frog into the cauldron.
context: Miss Cavendish.\Fortune to she who lets the stone rest.\A curse upon she who does not.\That was splendid, Diana Cavendish.\For as long as I have been a teacher here, you are the first person able to read this.\I knew Diana could do it.\The more you stir, the further the color changes.\Then add a lively frog into the cauldron. response:	The frog must be taken straight from water to avoid its secretions.
context: Fortune to she who lets the stone rest.\A curse upon she who does not.\That was splendid, Diana Cavendish.\For as long as I have been a teacher here, you are the first person able to read this.\I knew Diana could do it.\The more you stir, the further the color changes.\Then add a lively frog into the cauldron.\The frog must be taken straight from water to avoid its secretions. response:	Entrail of newt, crushed bat nails.
context: A curse upon she who does not.\That was splendid, Diana Cavendish.\For as long as I have been a teacher here, you are the first person able to read this.\I knew Diana could do it.\The more you stir, the further the color changes.\Then add a lively frog into the cauldron.\The frog must be taken straight from water to avoid its secretions.\Entrail of newt, crushed bat nails. response:	Carefully, carefully add them to the pot...
context: That was splendid, Diana Cavendish.\For as long as I have been a teacher here, you are the first person able to read this.\I knew Diana could do it.\The more you stir, the further the color changes.\Then add a lively frog into the cauldron.\The frog must be taken straight from water to avoid its secretions.\Entrail of newt, crushed bat nails.\Carefully, carefully add them to the pot... response:	How's that? Doesn't it have a wondrous odor?
context: For as long as I have been a teacher here, you are the first person able to read this.\I knew Diana could do it.\The more you stir, the further the color changes.\Then add a lively frog into the cauldron.\The frog must be taken straight from water to avoid its secretions.\Entrail of newt, crushed bat nails.\Carefully, carefully add them to the pot...\How's that? Doesn't it have a wondrous odor? response:	A-As I have explained, it is believed that Pythagoras laid the foundations of sorcery and divination.
context: I knew Diana could do it.\The more you stir, the further the color changes.\Then add a lively frog into the cauldron.\The frog must be taken straight from water to avoid its secretions.\Entrail of newt, crushed bat nails.\Carefully, carefully add them to the pot...\How's that? Doesn't it have a wondrous odor?\A-As I have explained, it is believed that Pythagoras laid the foundations of sorcery and divination. response:	Now, please turn to line 102 on page 923 of your textbooks.
context: The more you stir, the further the color changes.\Then add a lively frog into the cauldron.\The frog must be taken straight from water to avoid its secretions.\Entrail of newt, crushed bat nails.\Carefully, carefully add them to the pot...\How's that? Doesn't it have a wondrous odor?\A-As I have explained, it is believed that Pythagoras laid the foundations of sorcery and divination.\Now, please turn to line 102 on page 923 of your textbooks. response:	From a numerology perspective, the numbers one through five can be used to represent the universe
context: Then add a lively frog into the cauldron.\The frog must be taken straight from water to avoid its secretions.\Entrail of newt, crushed bat nails.\Carefully, carefully add them to the pot...\How's that? Doesn't it have a wondrous odor?\A-As I have explained, it is believed that Pythagoras laid the foundations of sorcery and divination.\Now, please turn to line 102 on page 923 of your textbooks.\From a numerology perspective, the numbers one through five can be used to represent the universe response:	Professor Badcock.
context: The frog must be taken straight from water to avoid its secretions.\Entrail of newt, crushed bat nails.\Carefully, carefully add them to the pot...\How's that? Doesn't it have a wondrous odor?\A-As I have explained, it is believed that Pythagoras laid the foundations of sorcery and divination.\Now, please turn to line 102 on page 923 of your textbooks.\From a numerology perspective, the numbers one through five can be used to represent the universe\Professor Badcock. response:	I believe it reads one through four, not one through five.
context: Entrail of newt, crushed bat nails.\Carefully, carefully add them to the pot...\How's that? Doesn't it have a wondrous odor?\A-As I have explained, it is believed that Pythagoras laid the foundations of sorcery and divination.\Now, please turn to line 102 on page 923 of your textbooks.\From a numerology perspective, the numbers one through five can be used to represent the universe\Professor Badcock.\I believe it reads one through four, not one through five. response:	What?
context: Carefully, carefully add them to the pot...\How's that? Doesn't it have a wondrous odor?\A-As I have explained, it is believed that Pythagoras laid the foundations of sorcery and divination.\Now, please turn to line 102 on page 923 of your textbooks.\From a numerology perspective, the numbers one through five can be used to represent the universe\Professor Badcock.\I believe it reads one through four, not one through five.\What? response:	Wh-What a blunder. You are absolutely correct.
context: How's that? Doesn't it have a wondrous odor?\A-As I have explained, it is believed that Pythagoras laid the foundations of sorcery and divination.\Now, please turn to line 102 on page 923 of your textbooks.\From a numerology perspective, the numbers one through five can be used to represent the universe\Professor Badcock.\I believe it reads one through four, not one through five.\What?\Wh-What a blunder. You are absolutely correct. response:	Talk about losing face.
context: A-As I have explained, it is believed that Pythagoras laid the foundations of sorcery and divination.\Now, please turn to line 102 on page 923 of your textbooks.\From a numerology perspective, the numbers one through five can be used to represent the universe\Professor Badcock.\I believe it reads one through four, not one through five.\What?\Wh-What a blunder. You are absolutely correct.\Talk about losing face. response:	What's going on here?!
context: Now, please turn to line 102 on page 923 of your textbooks.\From a numerology perspective, the numbers one through five can be used to represent the universe\Professor Badcock.\I believe it reads one through four, not one through five.\What?\Wh-What a blunder. You are absolutely correct.\Talk about losing face.\What's going on here?! response:	How are lessons about magic this boring?!
context: From a numerology perspective, the numbers one through five can be used to represent the universe\Professor Badcock.\I believe it reads one through four, not one through five.\What?\Wh-What a blunder. You are absolutely correct.\Talk about losing face.\What's going on here?!\How are lessons about magic this boring?! response:	Isn't magic supposed to be flashy and all about dreams and miracles?
context: Professor Badcock.\I believe it reads one through four, not one through five.\What?\Wh-What a blunder. You are absolutely correct.\Talk about losing face.\What's going on here?!\How are lessons about magic this boring?!\Isn't magic supposed to be flashy and all about dreams and miracles? response:	Lotte, could you pass that?
context: I believe it reads one through four, not one through five.\What?\Wh-What a blunder. You are absolutely correct.\Talk about losing face.\What's going on here?!\How are lessons about magic this boring?!\Isn't magic supposed to be flashy and all about dreams and miracles?\Lotte, could you pass that? response:	S-Sure.
context: What?\Wh-What a blunder. You are absolutely correct.\Talk about losing face.\What's going on here?!\How are lessons about magic this boring?!\Isn't magic supposed to be flashy and all about dreams and miracles?\Lotte, could you pass that?\S-Sure. response:	This is nothing like I imagined.
context: Wh-What a blunder. You are absolutely correct.\Talk about losing face.\What's going on here?!\How are lessons about magic this boring?!\Isn't magic supposed to be flashy and all about dreams and miracles?\Lotte, could you pass that?\S-Sure.\This is nothing like I imagined. response:	I can hardly believe this is the same school Shiny Chariot learned magic at.
context: Talk about losing face.\What's going on here?!\How are lessons about magic this boring?!\Isn't magic supposed to be flashy and all about dreams and miracles?\Lotte, could you pass that?\S-Sure.\This is nothing like I imagined.\I can hardly believe this is the same school Shiny Chariot learned magic at. response:	You'd be hard pressed to find anyone who respects Shiny Chariot's magic.
