context: Once in a while when I wake up response:	I find myself crying.
context: What a realistic dream if I do say so myself.\Oh, he keeps a diary.\He's so organized.\Wish I lived in Tokyo too.\Oh! That's her!\A crush, maybe?\Walked Ms. Okudera to the station after work, thanks to my feminine powers!\Who are you? response:	Mitsuha
context: Oh, he keeps a diary.\He's so organized.\Wish I lived in Tokyo too.\Oh! That's her!\A crush, maybe?\Walked Ms. Okudera to the station after work, thanks to my feminine powers!\Who are you?\Mitsuha response:	What is this?
context: He's so organized.\Wish I lived in Tokyo too.\Oh! That's her!\A crush, maybe?\Walked Ms. Okudera to the station after work, thanks to my feminine powers!\Who are you?\Mitsuha\What is this? response:	Mitsuha
context: Wish I lived in Tokyo too.\Oh! That's her!\A crush, maybe?\Walked Ms. Okudera to the station after work, thanks to my feminine powers!\Who are you?\Mitsuha\What is this?\Mitsuha response:	What? What?
context: Oh! That's her!\A crush, maybe?\Walked Ms. Okudera to the station after work, thanks to my feminine powers!\Who are you?\Mitsuha\What is this?\Mitsuha\What? What? response:	Thanks to my feminine powers! What's going on!
context: A crush, maybe?\Walked Ms. Okudera to the station after work, thanks to my feminine powers!\Who are you?\Mitsuha\What is this?\Mitsuha\What? What?\Thanks to my feminine powers! What's going on! response:	Let's go to the cafe again.
context: Walked Ms. Okudera to the station after work, thanks to my feminine powers!\Who are you?\Mitsuha\What is this?\Mitsuha\What? What?\Thanks to my feminine powers! What's going on!\Let's go to the cafe again. response:	Sorry, I have to go to work.
context: Who are you?\Mitsuha\What is this?\Mitsuha\What? What?\Thanks to my feminine powers! What's going on!\Let's go to the cafe again.\Sorry, I have to go to work. response:	Do you remember where to go?
context: Mitsuha\What is this?\Mitsuha\What? What?\Thanks to my feminine powers! What's going on!\Let's go to the cafe again.\Sorry, I have to go to work.\Do you remember where to go? response:	Tsukasa, did you prank my phone and...
context: What is this?\Mitsuha\What? What?\Thanks to my feminine powers! What's going on!\Let's go to the cafe again.\Sorry, I have to go to work.\Do you remember where to go?\Tsukasa, did you prank my phone and... response:	Oh, never mind. See you.
context: Mitsuha\What? What?\Thanks to my feminine powers! What's going on!\Let's go to the cafe again.\Sorry, I have to go to work.\Do you remember where to go?\Tsukasa, did you prank my phone and...\Oh, never mind. See you. response:	He's acting normal today.
context: What? What?\Thanks to my feminine powers! What's going on!\Let's go to the cafe again.\Sorry, I have to go to work.\Do you remember where to go?\Tsukasa, did you prank my phone and...\Oh, never mind. See you.\He's acting normal today. response:	Yesterday he was kind of cute.
context: Thanks to my feminine powers! What's going on!\Let's go to the cafe again.\Sorry, I have to go to work.\Do you remember where to go?\Tsukasa, did you prank my phone and...\Oh, never mind. See you.\He's acting normal today.\Yesterday he was kind of cute. response:	What?
context: Let's go to the cafe again.\Sorry, I have to go to work.\Do you remember where to go?\Tsukasa, did you prank my phone and...\Oh, never mind. See you.\He's acting normal today.\Yesterday he was kind of cute.\What? response:	Wha... What?
context: Sorry, I have to go to work.\Do you remember where to go?\Tsukasa, did you prank my phone and...\Oh, never mind. See you.\He's acting normal today.\Yesterday he was kind of cute.\What?\Wha... What? response:	Taki, you tried to outdo us!
context: Do you remember where to go?\Tsukasa, did you prank my phone and...\Oh, never mind. See you.\He's acting normal today.\Yesterday he was kind of cute.\What?\Wha... What?\Taki, you tried to outdo us! response:	You walked home with her!
context: Tsukasa, did you prank my phone and...\Oh, never mind. See you.\He's acting normal today.\Yesterday he was kind of cute.\What?\Wha... What?\Taki, you tried to outdo us!\You walked home with her! response:	Did I really? With Ms. Okudera?
context: Oh, never mind. See you.\He's acting normal today.\Yesterday he was kind of cute.\What?\Wha... What?\Taki, you tried to outdo us!\You walked home with her!\Did I really? With Ms. Okudera? response:	What happened afterwards?
context: He's acting normal today.\Yesterday he was kind of cute.\What?\Wha... What?\Taki, you tried to outdo us!\You walked home with her!\Did I really? With Ms. Okudera?\What happened afterwards? response:	I don't really remember.
context: Yesterday he was kind of cute.\What?\Wha... What?\Taki, you tried to outdo us!\You walked home with her!\Did I really? With Ms. Okudera?\What happened afterwards?\I don't really remember. response:	Oh really, now?
context: What?\Wha... What?\Taki, you tried to outdo us!\You walked home with her!\Did I really? With Ms. Okudera?\What happened afterwards?\I don't really remember.\Oh really, now? response:	Coming through.
context: Wha... What?\Taki, you tried to outdo us!\You walked home with her!\Did I really? With Ms. Okudera?\What happened afterwards?\I don't really remember.\Oh really, now?\Coming through. response:	- Hi guys. - Hello.
context: Taki, you tried to outdo us!\You walked home with her!\Did I really? With Ms. Okudera?\What happened afterwards?\I don't really remember.\Oh really, now?\Coming through.\- Hi guys. - Hello. response:	Let's make today a good one.
context: You walked home with her!\Did I really? With Ms. Okudera?\What happened afterwards?\I don't really remember.\Oh really, now?\Coming through.\- Hi guys. - Hello.\Let's make today a good one. response:	Right, Taki?
context: Did I really? With Ms. Okudera?\What happened afterwards?\I don't really remember.\Oh really, now?\Coming through.\- Hi guys. - Hello.\Let's make today a good one.\Right, Taki? response:	Mitsuha? Who are you? What are you?
context: What happened afterwards?\I don't really remember.\Oh really, now?\Coming through.\- Hi guys. - Hello.\Let's make today a good one.\Right, Taki?\Mitsuha? Who are you? What are you? response:	You're not touching your boobs today.
context: I don't really remember.\Oh really, now?\Coming through.\- Hi guys. - Hello.\Let's make today a good one.\Right, Taki?\Mitsuha? Who are you? What are you?\You're not touching your boobs today. response:	Breakfast is ready! Hurry up!
context: Oh really, now?\Coming through.\- Hi guys. - Hello.\Let's make today a good one.\Right, Taki?\Mitsuha? Who are you? What are you?\You're not touching your boobs today.\Breakfast is ready! Hurry up! response:	Boobs?
context: Coming through.\- Hi guys. - Hello.\Let's make today a good one.\Right, Taki?\Mitsuha? Who are you? What are you?\You're not touching your boobs today.\Breakfast is ready! Hurry up!\Boobs? response:	Morning.
context: - Hi guys. - Hello.\Let's make today a good one.\Right, Taki?\Mitsuha? Who are you? What are you?\You're not touching your boobs today.\Breakfast is ready! Hurry up!\Boobs?\Morning. response:	Why is everyone staring at me?
context: Let's make today a good one.\Right, Taki?\Mitsuha? Who are you? What are you?\You're not touching your boobs today.\Breakfast is ready! Hurry up!\Boobs?\Morning.\Why is everyone staring at me? response:	Well, you made quite a scene yesterday.
context: Right, Taki?\Mitsuha? Who are you? What are you?\You're not touching your boobs today.\Breakfast is ready! Hurry up!\Boobs?\Morning.\Why is everyone staring at me?\Well, you made quite a scene yesterday. response:	Huh?
context: Mitsuha? Who are you? What are you?\You're not touching your boobs today.\Breakfast is ready! Hurry up!\Boobs?\Morning.\Why is everyone staring at me?\Well, you made quite a scene yesterday.\Huh? response:	Still life drawing
context: You're not touching your boobs today.\Breakfast is ready! Hurry up!\Boobs?\Morning.\Why is everyone staring at me?\Well, you made quite a scene yesterday.\Huh?\Still life drawing response:	Did you see all the election posters?
context: Breakfast is ready! Hurry up!\Boobs?\Morning.\Why is everyone staring at me?\Well, you made quite a scene yesterday.\Huh?\Still life drawing\Did you see all the election posters? response:	Doesn't matter who wins. It's all about who gets the kickbacks.
context: Boobs?\Morning.\Why is everyone staring at me?\Well, you made quite a scene yesterday.\Huh?\Still life drawing\Did you see all the election posters?\Doesn't matter who wins. It's all about who gets the kickbacks. response:	Shh! Someone's father depends on it.
context: Morning.\Why is everyone staring at me?\Well, you made quite a scene yesterday.\Huh?\Still life drawing\Did you see all the election posters?\Doesn't matter who wins. It's all about who gets the kickbacks.\Shh! Someone's father depends on it. response:	They mean me, right?
context: Why is everyone staring at me?\Well, you made quite a scene yesterday.\Huh?\Still life drawing\Did you see all the election posters?\Doesn't matter who wins. It's all about who gets the kickbacks.\Shh! Someone's father depends on it.\They mean me, right? response:	Well, yeah.
context: Well, you made quite a scene yesterday.\Huh?\Still life drawing\Did you see all the election posters?\Doesn't matter who wins. It's all about who gets the kickbacks.\Shh! Someone's father depends on it.\They mean me, right?\Well, yeah. response:	Hey, Mitsuha!
context: Huh?\Still life drawing\Did you see all the election posters?\Doesn't matter who wins. It's all about who gets the kickbacks.\Shh! Someone's father depends on it.\They mean me, right?\Well, yeah.\Hey, Mitsuha! response:	Wha...? Wha...? I did what?
context: Still life drawing\Did you see all the election posters?\Doesn't matter who wins. It's all about who gets the kickbacks.\Shh! Someone's father depends on it.\They mean me, right?\Well, yeah.\Hey, Mitsuha!\Wha...? Wha...? I did what? response:	Mitsuha?
context: Did you see all the election posters?\Doesn't matter who wins. It's all about who gets the kickbacks.\Shh! Someone's father depends on it.\They mean me, right?\Well, yeah.\Hey, Mitsuha!\Wha...? Wha...? I did what?\Mitsuha? response:	Is this... could this be...
context: Doesn't matter who wins. It's all about who gets the kickbacks.\Shh! Someone's father depends on it.\They mean me, right?\Well, yeah.\Hey, Mitsuha!\Wha...? Wha...? I did what?\Mitsuha?\Is this... could this be... response:	Could this be that we're really...
context: Shh! Someone's father depends on it.\They mean me, right?\Well, yeah.\Hey, Mitsuha!\Wha...? Wha...? I did what?\Mitsuha?\Is this... could this be...\Could this be that we're really... response:	In our dreams, that guy and I are...
context: They mean me, right?\Well, yeah.\Hey, Mitsuha!\Wha...? Wha...? I did what?\Mitsuha?\Is this... could this be...\Could this be that we're really...\In our dreams, that guy and I are... response:	In our dreams, that girl and I are...
context: Well, yeah.\Hey, Mitsuha!\Wha...? Wha...? I did what?\Mitsuha?\Is this... could this be...\Could this be that we're really...\In our dreams, that guy and I are...\In our dreams, that girl and I are... response:	switching places?
context: Hey, Mitsuha!\Wha...? Wha...? I did what?\Mitsuha?\Is this... could this be...\Could this be that we're really...\In our dreams, that guy and I are...\In our dreams, that girl and I are...\switching places? response:	I'm beginning to get what's going on.
context: Wha...? Wha...? I did what?\Mitsuha?\Is this... could this be...\Could this be that we're really...\In our dreams, that guy and I are...\In our dreams, that girl and I are...\switching places?\I'm beginning to get what's going on. response:	Taki is a boy my age living in Tokyo.
context: Mitsuha?\Is this... could this be...\Could this be that we're really...\In our dreams, that guy and I are...\In our dreams, that girl and I are...\switching places?\I'm beginning to get what's going on.\Taki is a boy my age living in Tokyo. response:	I switch with Mitsuha at random
context: Is this... could this be...\Could this be that we're really...\In our dreams, that guy and I are...\In our dreams, that girl and I are...\switching places?\I'm beginning to get what's going on.\Taki is a boy my age living in Tokyo.\I switch with Mitsuha at random response:	a few times a week unexpectedly.
context: Could this be that we're really...\In our dreams, that guy and I are...\In our dreams, that girl and I are...\switching places?\I'm beginning to get what's going on.\Taki is a boy my age living in Tokyo.\I switch with Mitsuha at random\a few times a week unexpectedly. response:	Sleep triggers it. The cause is a mystery.
