context: Dijun, what do you have in your arms? response:	You can't tell from looking what this is?
context: I just want to find a safe place I can live.\You should know very well\that Li Jing and I hate each other because of our mothers' deaths.\He'll eventually find out that I've escaped.\At that time, he'll definitely send men to come kill me.\For now, it seems like only my mother's clan can protect me, right?\You and Second Brother are both equally important to me.\I really don't want to see you two fighting to the death. response:	Big Brother, do you understand?
context: You should know very well\that Li Jing and I hate each other because of our mothers' deaths.\He'll eventually find out that I've escaped.\At that time, he'll definitely send men to come kill me.\For now, it seems like only my mother's clan can protect me, right?\You and Second Brother are both equally important to me.\I really don't want to see you two fighting to the death.\Big Brother, do you understand? response:	I do. I understand.
context: that Li Jing and I hate each other because of our mothers' deaths.\He'll eventually find out that I've escaped.\At that time, he'll definitely send men to come kill me.\For now, it seems like only my mother's clan can protect me, right?\You and Second Brother are both equally important to me.\I really don't want to see you two fighting to the death.\Big Brother, do you understand?\I do. I understand. response:	Scarlet Flame Golden Lion!
context: He'll eventually find out that I've escaped.\At that time, he'll definitely send men to come kill me.\For now, it seems like only my mother's clan can protect me, right?\You and Second Brother are both equally important to me.\I really don't want to see you two fighting to the death.\Big Brother, do you understand?\I do. I understand.\Scarlet Flame Golden Lion! response:	Your Highness.
context: At that time, he'll definitely send men to come kill me.\For now, it seems like only my mother's clan can protect me, right?\You and Second Brother are both equally important to me.\I really don't want to see you two fighting to the death.\Big Brother, do you understand?\I do. I understand.\Scarlet Flame Golden Lion!\Your Highness. response:	They've been my trusted confidants for years!
context: For now, it seems like only my mother's clan can protect me, right?\You and Second Brother are both equally important to me.\I really don't want to see you two fighting to the death.\Big Brother, do you understand?\I do. I understand.\Scarlet Flame Golden Lion!\Your Highness.\They've been my trusted confidants for years! response:	Why did you kill them?
context: You and Second Brother are both equally important to me.\I really don't want to see you two fighting to the death.\Big Brother, do you understand?\I do. I understand.\Scarlet Flame Golden Lion!\Your Highness.\They've been my trusted confidants for years!\Why did you kill them? response:	Your Highness, our journey is top secret.
context: I really don't want to see you two fighting to the death.\Big Brother, do you understand?\I do. I understand.\Scarlet Flame Golden Lion!\Your Highness.\They've been my trusted confidants for years!\Why did you kill them?\Your Highness, our journey is top secret. response:	If any of them leaks news of our journey
context: Big Brother, do you understand?\I do. I understand.\Scarlet Flame Golden Lion!\Your Highness.\They've been my trusted confidants for years!\Why did you kill them?\Your Highness, our journey is top secret.\If any of them leaks news of our journey response:	maybe you wouldn't be killed
context: I do. I understand.\Scarlet Flame Golden Lion!\Your Highness.\They've been my trusted confidants for years!\Why did you kill them?\Your Highness, our journey is top secret.\If any of them leaks news of our journey\maybe you wouldn't be killed response:	but His Highness and I would die and not be buried.
context: Scarlet Flame Golden Lion!\Your Highness.\They've been my trusted confidants for years!\Why did you kill them?\Your Highness, our journey is top secret.\If any of them leaks news of our journey\maybe you wouldn't be killed\but His Highness and I would die and not be buried. response:	They all grew up with me.
context: Your Highness.\They've been my trusted confidants for years!\Why did you kill them?\Your Highness, our journey is top secret.\If any of them leaks news of our journey\maybe you wouldn't be killed\but His Highness and I would die and not be buried.\They all grew up with me. response:	They wouldn't betray me!
context: They've been my trusted confidants for years!\Why did you kill them?\Your Highness, our journey is top secret.\If any of them leaks news of our journey\maybe you wouldn't be killed\but His Highness and I would die and not be buried.\They all grew up with me.\They wouldn't betray me! response:	Yan Zhi, there are no trusted confidants in the world.
context: Why did you kill them?\Your Highness, our journey is top secret.\If any of them leaks news of our journey\maybe you wouldn't be killed\but His Highness and I would die and not be buried.\They all grew up with me.\They wouldn't betray me!\Yan Zhi, there are no trusted confidants in the world. response:	In the past, I was betrayed by so-called trusted confidants
context: Your Highness, our journey is top secret.\If any of them leaks news of our journey\maybe you wouldn't be killed\but His Highness and I would die and not be buried.\They all grew up with me.\They wouldn't betray me!\Yan Zhi, there are no trusted confidants in the world.\In the past, I was betrayed by so-called trusted confidants response:	and lost my position as Ghost Lord
context: If any of them leaks news of our journey\maybe you wouldn't be killed\but His Highness and I would die and not be buried.\They all grew up with me.\They wouldn't betray me!\Yan Zhi, there are no trusted confidants in the world.\In the past, I was betrayed by so-called trusted confidants\and lost my position as Ghost Lord response:	and locked in prison for 70,000 years!
context: maybe you wouldn't be killed\but His Highness and I would die and not be buried.\They all grew up with me.\They wouldn't betray me!\Yan Zhi, there are no trusted confidants in the world.\In the past, I was betrayed by so-called trusted confidants\and lost my position as Ghost Lord\and locked in prison for 70,000 years! response:	All right. I won't talk about this anymore.
context: but His Highness and I would die and not be buried.\They all grew up with me.\They wouldn't betray me!\Yan Zhi, there are no trusted confidants in the world.\In the past, I was betrayed by so-called trusted confidants\and lost my position as Ghost Lord\and locked in prison for 70,000 years!\All right. I won't talk about this anymore. response:	Let's go.
