context: I've always hoped that you could forget what happened 300 years ago. response:	Now that you've fallen for this high god...
context: She means to say that I, Bai Qian of Qing Qiu\won the affection of Ye Hua because I resemble A-Li's mother.\Fortunately, I've read quite a few plays when roaming in Mortal Realm.\I could figure out her underlying sarcasms.\Since you've confided so much in me\I should reciprocate.\Sister, do tell.\Su Jin... response:	What you seek isn't what everyone wants.
context: won the affection of Ye Hua because I resemble A-Li's mother.\Fortunately, I've read quite a few plays when roaming in Mortal Realm.\I could figure out her underlying sarcasms.\Since you've confided so much in me\I should reciprocate.\Sister, do tell.\Su Jin...\What you seek isn't what everyone wants. response:	It's best not to be too smart as a deity.
context: Fortunately, I've read quite a few plays when roaming in Mortal Realm.\I could figure out her underlying sarcasms.\Since you've confided so much in me\I should reciprocate.\Sister, do tell.\Su Jin...\What you seek isn't what everyone wants.\It's best not to be too smart as a deity. response:	I don't understand what you said...
context: I could figure out her underlying sarcasms.\Since you've confided so much in me\I should reciprocate.\Sister, do tell.\Su Jin...\What you seek isn't what everyone wants.\It's best not to be too smart as a deity.\I don't understand what you said... response:	You don't?
context: Since you've confided so much in me\I should reciprocate.\Sister, do tell.\Su Jin...\What you seek isn't what everyone wants.\It's best not to be too smart as a deity.\I don't understand what you said...\You don't? response:	If so, you should be grounded for a few days to reflect on yourself.
context: I should reciprocate.\Sister, do tell.\Su Jin...\What you seek isn't what everyone wants.\It's best not to be too smart as a deity.\I don't understand what you said...\You don't?\If so, you should be grounded for a few days to reflect on yourself. response:	Then you'll figure it out.
context: Sister, do tell.\Su Jin...\What you seek isn't what everyone wants.\It's best not to be too smart as a deity.\I don't understand what you said...\You don't?\If so, you should be grounded for a few days to reflect on yourself.\Then you'll figure it out. response:	Yes.
context: Su Jin...\What you seek isn't what everyone wants.\It's best not to be too smart as a deity.\I don't understand what you said...\You don't?\If so, you should be grounded for a few days to reflect on yourself.\Then you'll figure it out.\Yes. response:	There's no rush in getting up yet.
context: What you seek isn't what everyone wants.\It's best not to be too smart as a deity.\I don't understand what you said...\You don't?\If so, you should be grounded for a few days to reflect on yourself.\Then you'll figure it out.\Yes.\There's no rush in getting up yet. response:	I have to remind you about a few matters.
context: It's best not to be too smart as a deity.\I don't understand what you said...\You don't?\If so, you should be grounded for a few days to reflect on yourself.\Then you'll figure it out.\Yes.\There's no rush in getting up yet.\I have to remind you about a few matters. response:	I've always been greeted by all gods and deities of all realms
context: I don't understand what you said...\You don't?\If so, you should be grounded for a few days to reflect on yourself.\Then you'll figure it out.\Yes.\There's no rush in getting up yet.\I have to remind you about a few matters.\I've always been greeted by all gods and deities of all realms response:	according to the rites of Qing Qiu.
context: You don't?\If so, you should be grounded for a few days to reflect on yourself.\Then you'll figure it out.\Yes.\There's no rush in getting up yet.\I have to remind you about a few matters.\I've always been greeted by all gods and deities of all realms\according to the rites of Qing Qiu. response:	When it comes to a formal greeting
context: If so, you should be grounded for a few days to reflect on yourself.\Then you'll figure it out.\Yes.\There's no rush in getting up yet.\I have to remind you about a few matters.\I've always been greeted by all gods and deities of all realms\according to the rites of Qing Qiu.\When it comes to a formal greeting response:	one must bathe and get changed three days in advance.
context: Then you'll figure it out.\Yes.\There's no rush in getting up yet.\I have to remind you about a few matters.\I've always been greeted by all gods and deities of all realms\according to the rites of Qing Qiu.\When it comes to a formal greeting\one must bathe and get changed three days in advance. response:	Refrain from eating meat, and burn incense.
context: Yes.\There's no rush in getting up yet.\I have to remind you about a few matters.\I've always been greeted by all gods and deities of all realms\according to the rites of Qing Qiu.\When it comes to a formal greeting\one must bathe and get changed three days in advance.\Refrain from eating meat, and burn incense. response:	Then three days later, you may then kneel three times to kowtow nine times to me.
context: There's no rush in getting up yet.\I have to remind you about a few matters.\I've always been greeted by all gods and deities of all realms\according to the rites of Qing Qiu.\When it comes to a formal greeting\one must bathe and get changed three days in advance.\Refrain from eating meat, and burn incense.\Then three days later, you may then kneel three times to kowtow nine times to me. response:	It might be a bit troublesome
context: I have to remind you about a few matters.\I've always been greeted by all gods and deities of all realms\according to the rites of Qing Qiu.\When it comes to a formal greeting\one must bathe and get changed three days in advance.\Refrain from eating meat, and burn incense.\Then three days later, you may then kneel three times to kowtow nine times to me.\It might be a bit troublesome response:	but even if your husband Ye Hua greets me so
context: I've always been greeted by all gods and deities of all realms\according to the rites of Qing Qiu.\When it comes to a formal greeting\one must bathe and get changed three days in advance.\Refrain from eating meat, and burn incense.\Then three days later, you may then kneel three times to kowtow nine times to me.\It might be a bit troublesome\but even if your husband Ye Hua greets me so response:	I am worthy of such a greeting as well.
context: according to the rites of Qing Qiu.\When it comes to a formal greeting\one must bathe and get changed three days in advance.\Refrain from eating meat, and burn incense.\Then three days later, you may then kneel three times to kowtow nine times to me.\It might be a bit troublesome\but even if your husband Ye Hua greets me so\I am worthy of such a greeting as well. response:	It's just that I don't fancy having minor deities greet me so.
context: When it comes to a formal greeting\one must bathe and get changed three days in advance.\Refrain from eating meat, and burn incense.\Then three days later, you may then kneel three times to kowtow nine times to me.\It might be a bit troublesome\but even if your husband Ye Hua greets me so\I am worthy of such a greeting as well.\It's just that I don't fancy having minor deities greet me so. response:	I find it too troublesome.
context: one must bathe and get changed three days in advance.\Refrain from eating meat, and burn incense.\Then three days later, you may then kneel three times to kowtow nine times to me.\It might be a bit troublesome\but even if your husband Ye Hua greets me so\I am worthy of such a greeting as well.\It's just that I don't fancy having minor deities greet me so.\I find it too troublesome. response:	A salute is just fine as long as one means it.
context: Refrain from eating meat, and burn incense.\Then three days later, you may then kneel three times to kowtow nine times to me.\It might be a bit troublesome\but even if your husband Ye Hua greets me so\I am worthy of such a greeting as well.\It's just that I don't fancy having minor deities greet me so.\I find it too troublesome.\A salute is just fine as long as one means it. response:	Next time, if you say that you wish to greet me formally
