context: This is a story about my father, my mother, and me. response:	About our family of three.
context: Buying a backpack is a privilege!\Buying a backpack is a privilege!\Being a parent\means beating out everyone who wants to buy one,\means beating out everyone who wants to buy one,\and earning the right to buy it,\so it's not a stranger's place to buy one!\That's your problem? response:	Come to think of it, the right to buy a backpack
context: Buying a backpack is a privilege!\Being a parent\means beating out everyone who wants to buy one,\means beating out everyone who wants to buy one,\and earning the right to buy it,\so it's not a stranger's place to buy one!\That's your problem?\Come to think of it, the right to buy a backpack response:	might go for a pretty high price.
context: Being a parent\means beating out everyone who wants to buy one,\means beating out everyone who wants to buy one,\and earning the right to buy it,\so it's not a stranger's place to buy one!\That's your problem?\Come to think of it, the right to buy a backpack\might go for a pretty high price. response:	And is the guy sending you backpacks a stranger?
context: means beating out everyone who wants to buy one,\means beating out everyone who wants to buy one,\and earning the right to buy it,\so it's not a stranger's place to buy one!\That's your problem?\Come to think of it, the right to buy a backpack\might go for a pretty high price.\And is the guy sending you backpacks a stranger? response:	Yeah, he's a stranger. To me.
context: means beating out everyone who wants to buy one,\and earning the right to buy it,\so it's not a stranger's place to buy one!\That's your problem?\Come to think of it, the right to buy a backpack\might go for a pretty high price.\And is the guy sending you backpacks a stranger?\Yeah, he's a stranger. To me. response:	She's so cute
context: and earning the right to buy it,\so it's not a stranger's place to buy one!\That's your problem?\Come to think of it, the right to buy a backpack\might go for a pretty high price.\And is the guy sending you backpacks a stranger?\Yeah, he's a stranger. To me.\She's so cute response:	You're in a good mood today.
context: so it's not a stranger's place to buy one!\That's your problem?\Come to think of it, the right to buy a backpack\might go for a pretty high price.\And is the guy sending you backpacks a stranger?\Yeah, he's a stranger. To me.\She's so cute\You're in a good mood today. response:	Whaaat?!
context: That's your problem?\Come to think of it, the right to buy a backpack\might go for a pretty high price.\And is the guy sending you backpacks a stranger?\Yeah, he's a stranger. To me.\She's so cute\You're in a good mood today.\Whaaat?! response:	I have to go to a signing? Me?!
context: Come to think of it, the right to buy a backpack\might go for a pretty high price.\And is the guy sending you backpacks a stranger?\Yeah, he's a stranger. To me.\She's so cute\You're in a good mood today.\Whaaat?!\I have to go to a signing? Me?! response:	Tomaruin, you bastard! Why'd you okay this?!
context: might go for a pretty high price.\And is the guy sending you backpacks a stranger?\Yeah, he's a stranger. To me.\She's so cute\You're in a good mood today.\Whaaat?!\I have to go to a signing? Me?!\Tomaruin, you bastard! Why'd you okay this?! response:	So he did it without asking you?
context: And is the guy sending you backpacks a stranger?\Yeah, he's a stranger. To me.\She's so cute\You're in a good mood today.\Whaaat?!\I have to go to a signing? Me?!\Tomaruin, you bastard! Why'd you okay this?!\So he did it without asking you? response:	If I show my face in public and Hime finds out, what then?!
context: Yeah, he's a stranger. To me.\She's so cute\You're in a good mood today.\Whaaat?!\I have to go to a signing? Me?!\Tomaruin, you bastard! Why'd you okay this?!\So he did it without asking you?\If I show my face in public and Hime finds out, what then?! response:	I have to turn it down!
context: She's so cute\You're in a good mood today.\Whaaat?!\I have to go to a signing? Me?!\Tomaruin, you bastard! Why'd you okay this?!\So he did it without asking you?\If I show my face in public and Hime finds out, what then?!\I have to turn it down! response:	It's too late to cancel.
context: You're in a good mood today.\Whaaat?!\I have to go to a signing? Me?!\Tomaruin, you bastard! Why'd you okay this?!\So he did it without asking you?\If I show my face in public and Hime finds out, what then?!\I have to turn it down!\It's too late to cancel. response:	They've advertised it online.
context: Whaaat?!\I have to go to a signing? Me?!\Tomaruin, you bastard! Why'd you okay this?!\So he did it without asking you?\If I show my face in public and Hime finds out, what then?!\I have to turn it down!\It's too late to cancel.\They've advertised it online. response:	And on a Sunday, of all days?
context: I have to go to a signing? Me?!\Tomaruin, you bastard! Why'd you okay this?!\So he did it without asking you?\If I show my face in public and Hime finds out, what then?!\I have to turn it down!\It's too late to cancel.\They've advertised it online.\And on a Sunday, of all days? response:	That's when Hime and I
context: Tomaruin, you bastard! Why'd you okay this?!\So he did it without asking you?\If I show my face in public and Hime finds out, what then?!\I have to turn it down!\It's too late to cancel.\They've advertised it online.\And on a Sunday, of all days?\That's when Hime and I response:	I'm looking forward to Sunday!
context: So he did it without asking you?\If I show my face in public and Hime finds out, what then?!\I have to turn it down!\It's too late to cancel.\They've advertised it online.\And on a Sunday, of all days?\That's when Hime and I\I'm looking forward to Sunday! response:	You finally got a reservation at KidZanira!
context: If I show my face in public and Hime finds out, what then?!\I have to turn it down!\It's too late to cancel.\They've advertised it online.\And on a Sunday, of all days?\That's when Hime and I\I'm looking forward to Sunday!\You finally got a reservation at KidZanira! response:	KidZanira?
context: I have to turn it down!\It's too late to cancel.\They've advertised it online.\And on a Sunday, of all days?\That's when Hime and I\I'm looking forward to Sunday!\You finally got a reservation at KidZanira!\KidZanira? response:	A theme park that's popular with kids.
context: It's too late to cancel.\They've advertised it online.\And on a Sunday, of all days?\That's when Hime and I\I'm looking forward to Sunday!\You finally got a reservation at KidZanira!\KidZanira?\A theme park that's popular with kids. response:	They can try out a bunch of different jobs.
context: They've advertised it online.\And on a Sunday, of all days?\That's when Hime and I\I'm looking forward to Sunday!\You finally got a reservation at KidZanira!\KidZanira?\A theme park that's popular with kids.\They can try out a bunch of different jobs. response:	It's supposedly a pain to get a reservation.
context: And on a Sunday, of all days?\That's when Hime and I\I'm looking forward to Sunday!\You finally got a reservation at KidZanira!\KidZanira?\A theme park that's popular with kids.\They can try out a bunch of different jobs.\It's supposedly a pain to get a reservation. response:	I'm off.
context: That's when Hime and I\I'm looking forward to Sunday!\You finally got a reservation at KidZanira!\KidZanira?\A theme park that's popular with kids.\They can try out a bunch of different jobs.\It's supposedly a pain to get a reservation.\I'm off. response:	Good work today.
context: I'm looking forward to Sunday!\You finally got a reservation at KidZanira!\KidZanira?\A theme park that's popular with kids.\They can try out a bunch of different jobs.\It's supposedly a pain to get a reservation.\I'm off.\Good work today. response:	Goto's been kinda low-energy lately.
context: You finally got a reservation at KidZanira!\KidZanira?\A theme park that's popular with kids.\They can try out a bunch of different jobs.\It's supposedly a pain to get a reservation.\I'm off.\Good work today.\Goto's been kinda low-energy lately. response:	Did something happen?
context: KidZanira?\A theme park that's popular with kids.\They can try out a bunch of different jobs.\It's supposedly a pain to get a reservation.\I'm off.\Good work today.\Goto's been kinda low-energy lately.\Did something happen? response:	Yeah, probably.
context: A theme park that's popular with kids.\They can try out a bunch of different jobs.\It's supposedly a pain to get a reservation.\I'm off.\Good work today.\Goto's been kinda low-energy lately.\Did something happen?\Yeah, probably. response:	Could you stop sending backpacks already?
context: They can try out a bunch of different jobs.\It's supposedly a pain to get a reservation.\I'm off.\Good work today.\Goto's been kinda low-energy lately.\Did something happen?\Yeah, probably.\Could you stop sending backpacks already? response:	How am I even supposed to explain it?
