context: The be-in... response:	Why not return it?
context: It says here the magic will run out in two hours.\I get it. No wonder he was sitting on that shelfwarmer.\The Lord and Lady Rodester. We have been eagerly awaiting your arrival.\Look, that's it! Earl Hanbridge's manor!\There's no way we'll be able to get in there...\Leave it to me!\Metamorphie Faciesse!\Now's our chance! response:	It's like a dream!
context: I get it. No wonder he was sitting on that shelfwarmer.\The Lord and Lady Rodester. We have been eagerly awaiting your arrival.\Look, that's it! Earl Hanbridge's manor!\There's no way we'll be able to get in there...\Leave it to me!\Metamorphie Faciesse!\Now's our chance!\It's like a dream! response:	We've stepped into a world straight out of a girl's fantasies.
context: The Lord and Lady Rodester. We have been eagerly awaiting your arrival.\Look, that's it! Earl Hanbridge's manor!\There's no way we'll be able to get in there...\Leave it to me!\Metamorphie Faciesse!\Now's our chance!\It's like a dream!\We've stepped into a world straight out of a girl's fantasies. response:	Thank you for being present as we honor my son, Andrew.
context: Look, that's it! Earl Hanbridge's manor!\There's no way we'll be able to get in there...\Leave it to me!\Metamorphie Faciesse!\Now's our chance!\It's like a dream!\We've stepped into a world straight out of a girl's fantasies.\Thank you for being present as we honor my son, Andrew. response:	Andrew...
context: There's no way we'll be able to get in there...\Leave it to me!\Metamorphie Faciesse!\Now's our chance!\It's like a dream!\We've stepped into a world straight out of a girl's fantasies.\Thank you for being present as we honor my son, Andrew.\Andrew... response:	Such a magnificent feat, Lord Andrew. Not just anybody can be the top student at Appleton Academy.
context: Leave it to me!\Metamorphie Faciesse!\Now's our chance!\It's like a dream!\We've stepped into a world straight out of a girl's fantasies.\Thank you for being present as we honor my son, Andrew.\Andrew...\Such a magnificent feat, Lord Andrew. Not just anybody can be the top student at Appleton Academy. response:	That makes three consecutive years.
context: Metamorphie Faciesse!\Now's our chance!\It's like a dream!\We've stepped into a world straight out of a girl's fantasies.\Thank you for being present as we honor my son, Andrew.\Andrew...\Such a magnificent feat, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\That makes three consecutive years. response:	You have proved to be an admirable heir. Earl Hanbridge's expectations for you were well placed.
context: Now's our chance!\It's like a dream!\We've stepped into a world straight out of a girl's fantasies.\Thank you for being present as we honor my son, Andrew.\Andrew...\Such a magnificent feat, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\That makes three consecutive years.\You have proved to be an admirable heir. Earl Hanbridge's expectations for you were well placed. response:	One day, you will surely follow his footsteps and become a formidable statesman.
context: It's like a dream!\We've stepped into a world straight out of a girl's fantasies.\Thank you for being present as we honor my son, Andrew.\Andrew...\Such a magnificent feat, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\That makes three consecutive years.\You have proved to be an admirable heir. Earl Hanbridge's expectations for you were well placed.\One day, you will surely follow his footsteps and become a formidable statesman. response:	I wish for nothing more.
context: We've stepped into a world straight out of a girl's fantasies.\Thank you for being present as we honor my son, Andrew.\Andrew...\Such a magnificent feat, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\That makes three consecutive years.\You have proved to be an admirable heir. Earl Hanbridge's expectations for you were well placed.\One day, you will surely follow his footsteps and become a formidable statesman.\I wish for nothing more. response:	Pardon me.
context: Thank you for being present as we honor my son, Andrew.\Andrew...\Such a magnificent feat, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\That makes three consecutive years.\You have proved to be an admirable heir. Earl Hanbridge's expectations for you were well placed.\One day, you will surely follow his footsteps and become a formidable statesman.\I wish for nothing more.\Pardon me. response:	You don't look like you're having the most pleasant day, Andrew.
context: Andrew...\Such a magnificent feat, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\That makes three consecutive years.\You have proved to be an admirable heir. Earl Hanbridge's expectations for you were well placed.\One day, you will surely follow his footsteps and become a formidable statesman.\I wish for nothing more.\Pardon me.\You don't look like you're having the most pleasant day, Andrew. response:	There's no point in wasting time with formalities.
context: Such a magnificent feat, Lord Andrew. Not just anybody can be the top student at Appleton Academy.\That makes three consecutive years.\You have proved to be an admirable heir. Earl Hanbridge's expectations for you were well placed.\One day, you will surely follow his footsteps and become a formidable statesman.\I wish for nothing more.\Pardon me.\You don't look like you're having the most pleasant day, Andrew.\There's no point in wasting time with formalities. response:	Diana!
context: That makes three consecutive years.\You have proved to be an admirable heir. Earl Hanbridge's expectations for you were well placed.\One day, you will surely follow his footsteps and become a formidable statesman.\I wish for nothing more.\Pardon me.\You don't look like you're having the most pleasant day, Andrew.\There's no point in wasting time with formalities.\Diana! response:	Do you remember me? I'm Frank.
context: You have proved to be an admirable heir. Earl Hanbridge's expectations for you were well placed.\One day, you will surely follow his footsteps and become a formidable statesman.\I wish for nothing more.\Pardon me.\You don't look like you're having the most pleasant day, Andrew.\There's no point in wasting time with formalities.\Diana!\Do you remember me? I'm Frank. response:	Andrew's schoolmate, I believe.
context: One day, you will surely follow his footsteps and become a formidable statesman.\I wish for nothing more.\Pardon me.\You don't look like you're having the most pleasant day, Andrew.\There's no point in wasting time with formalities.\Diana!\Do you remember me? I'm Frank.\Andrew's schoolmate, I believe. response:	You become more beautiful each time I see you.
context: I wish for nothing more.\Pardon me.\You don't look like you're having the most pleasant day, Andrew.\There's no point in wasting time with formalities.\Diana!\Do you remember me? I'm Frank.\Andrew's schoolmate, I believe.\You become more beautiful each time I see you. response:	Your studies appear to be progressing well.
context: Pardon me.\You don't look like you're having the most pleasant day, Andrew.\There's no point in wasting time with formalities.\Diana!\Do you remember me? I'm Frank.\Andrew's schoolmate, I believe.\You become more beautiful each time I see you.\Your studies appear to be progressing well. response:	I feel privileged that you would take precious time out of your so-called magic education to visit me, Diana.
context: You don't look like you're having the most pleasant day, Andrew.\There's no point in wasting time with formalities.\Diana!\Do you remember me? I'm Frank.\Andrew's schoolmate, I believe.\You become more beautiful each time I see you.\Your studies appear to be progressing well.\I feel privileged that you would take precious time out of your so-called magic education to visit me, Diana. response:	Diana and Andrew are so picturesque together.
context: There's no point in wasting time with formalities.\Diana!\Do you remember me? I'm Frank.\Andrew's schoolmate, I believe.\You become more beautiful each time I see you.\Your studies appear to be progressing well.\I feel privileged that you would take precious time out of your so-called magic education to visit me, Diana.\Diana and Andrew are so picturesque together. response:	They're both nobles. We live in different worlds.
context: Diana!\Do you remember me? I'm Frank.\Andrew's schoolmate, I believe.\You become more beautiful each time I see you.\Your studies appear to be progressing well.\I feel privileged that you would take precious time out of your so-called magic education to visit me, Diana.\Diana and Andrew are so picturesque together.\They're both nobles. We live in different worlds. response:	Th-That's right! They go perfectly together with their nasty personalities.
context: Do you remember me? I'm Frank.\Andrew's schoolmate, I believe.\You become more beautiful each time I see you.\Your studies appear to be progressing well.\I feel privileged that you would take precious time out of your so-called magic education to visit me, Diana.\Diana and Andrew are so picturesque together.\They're both nobles. We live in different worlds.\Th-That's right! They go perfectly together with their nasty personalities. response:	Akko?!
context: Andrew's schoolmate, I believe.\You become more beautiful each time I see you.\Your studies appear to be progressing well.\I feel privileged that you would take precious time out of your so-called magic education to visit me, Diana.\Diana and Andrew are so picturesque together.\They're both nobles. We live in different worlds.\Th-That's right! They go perfectly together with their nasty personalities.\Akko?! response:	Wh-What a surprise to see you here!
