context: If I remember correctly response:	70,000 years ago by Ruoshui Riverbank
context: He shouldn't be punished in his mother's stead.\I believe that he'll wake up soon.\Be good, Uncle Zi Lan will be here soon.\Zi Lan asked me to bring you this elixir.\Zi Lan...\Zi Lan is...\This is the prescription that Zi Lan wrote for you.\He said that you've lost all your cultivation response:	so if you don't nurse yourself back to health
context: I believe that he'll wake up soon.\Be good, Uncle Zi Lan will be here soon.\Zi Lan asked me to bring you this elixir.\Zi Lan...\Zi Lan is...\This is the prescription that Zi Lan wrote for you.\He said that you've lost all your cultivation\so if you don't nurse yourself back to health response:	on the 1st and 15th of each month you'll ache so badly all over
context: Be good, Uncle Zi Lan will be here soon.\Zi Lan asked me to bring you this elixir.\Zi Lan...\Zi Lan is...\This is the prescription that Zi Lan wrote for you.\He said that you've lost all your cultivation\so if you don't nurse yourself back to health\on the 1st and 15th of each month you'll ache so badly all over response:	that you won't be able to get out of bed.
context: Zi Lan asked me to bring you this elixir.\Zi Lan...\Zi Lan is...\This is the prescription that Zi Lan wrote for you.\He said that you've lost all your cultivation\so if you don't nurse yourself back to health\on the 1st and 15th of each month you'll ache so badly all over\that you won't be able to get out of bed. response:	We have helped you with whatever we could.
context: Zi Lan...\Zi Lan is...\This is the prescription that Zi Lan wrote for you.\He said that you've lost all your cultivation\so if you don't nurse yourself back to health\on the 1st and 15th of each month you'll ache so badly all over\that you won't be able to get out of bed.\We have helped you with whatever we could. response:	Please don't come to Kunlun Mountain again.
context: Zi Lan is...\This is the prescription that Zi Lan wrote for you.\He said that you've lost all your cultivation\so if you don't nurse yourself back to health\on the 1st and 15th of each month you'll ache so badly all over\that you won't be able to get out of bed.\We have helped you with whatever we could.\Please don't come to Kunlun Mountain again. response:	I'll take my leave now.
context: This is the prescription that Zi Lan wrote for you.\He said that you've lost all your cultivation\so if you don't nurse yourself back to health\on the 1st and 15th of each month you'll ache so badly all over\that you won't be able to get out of bed.\We have helped you with whatever we could.\Please don't come to Kunlun Mountain again.\I'll take my leave now. response:	Feed it to my child.
context: He said that you've lost all your cultivation\so if you don't nurse yourself back to health\on the 1st and 15th of each month you'll ache so badly all over\that you won't be able to get out of bed.\We have helped you with whatever we could.\Please don't come to Kunlun Mountain again.\I'll take my leave now.\Feed it to my child. response:	Yes.
context: so if you don't nurse yourself back to health\on the 1st and 15th of each month you'll ache so badly all over\that you won't be able to get out of bed.\We have helped you with whatever we could.\Please don't come to Kunlun Mountain again.\I'll take my leave now.\Feed it to my child.\Yes. response:	Ying'er. Be good.
context: on the 1st and 15th of each month you'll ache so badly all over\that you won't be able to get out of bed.\We have helped you with whatever we could.\Please don't come to Kunlun Mountain again.\I'll take my leave now.\Feed it to my child.\Yes.\Ying'er. Be good. response:	Cry!
context: that you won't be able to get out of bed.\We have helped you with whatever we could.\Please don't come to Kunlun Mountain again.\I'll take my leave now.\Feed it to my child.\Yes.\Ying'er. Be good.\Cry! response:	Cry! Come on. Be good.
context: We have helped you with whatever we could.\Please don't come to Kunlun Mountain again.\I'll take my leave now.\Feed it to my child.\Yes.\Ying'er. Be good.\Cry!\Cry! Come on. Be good. response:	He's awake.
context: Please don't come to Kunlun Mountain again.\I'll take my leave now.\Feed it to my child.\Yes.\Ying'er. Be good.\Cry!\Cry! Come on. Be good.\He's awake. response:	Zi Lan, I really don't understand how you could bear to use up
context: I'll take my leave now.\Feed it to my child.\Yes.\Ying'er. Be good.\Cry!\Cry! Come on. Be good.\He's awake.\Zi Lan, I really don't understand how you could bear to use up response:	half of all your lifetime's cultivation.
context: Feed it to my child.\Yes.\Ying'er. Be good.\Cry!\Cry! Come on. Be good.\He's awake.\Zi Lan, I really don't understand how you could bear to use up\half of all your lifetime's cultivation. response:	That child has a strong, evil aura around him.
context: Yes.\Ying'er. Be good.\Cry!\Cry! Come on. Be good.\He's awake.\Zi Lan, I really don't understand how you could bear to use up\half of all your lifetime's cultivation.\That child has a strong, evil aura around him. response:	Yan Zhi's cultivation isn't enough to save his life.
context: Ying'er. Be good.\Cry!\Cry! Come on. Be good.\He's awake.\Zi Lan, I really don't understand how you could bear to use up\half of all your lifetime's cultivation.\That child has a strong, evil aura around him.\Yan Zhi's cultivation isn't enough to save his life. response:	I definitely had to use mine.
context: Cry!\Cry! Come on. Be good.\He's awake.\Zi Lan, I really don't understand how you could bear to use up\half of all your lifetime's cultivation.\That child has a strong, evil aura around him.\Yan Zhi's cultivation isn't enough to save his life.\I definitely had to use mine. response:	Women are indeed the source of trouble.
context: Cry! Come on. Be good.\He's awake.\Zi Lan, I really don't understand how you could bear to use up\half of all your lifetime's cultivation.\That child has a strong, evil aura around him.\Yan Zhi's cultivation isn't enough to save his life.\I definitely had to use mine.\Women are indeed the source of trouble. response:	Second Disciple, why do you sound more emotional than I am?
context: He's awake.\Zi Lan, I really don't understand how you could bear to use up\half of all your lifetime's cultivation.\That child has a strong, evil aura around him.\Yan Zhi's cultivation isn't enough to save his life.\I definitely had to use mine.\Women are indeed the source of trouble.\Second Disciple, why do you sound more emotional than I am? response:	I don't think that it's so serious.
context: Zi Lan, I really don't understand how you could bear to use up\half of all your lifetime's cultivation.\That child has a strong, evil aura around him.\Yan Zhi's cultivation isn't enough to save his life.\I definitely had to use mine.\Women are indeed the source of trouble.\Second Disciple, why do you sound more emotional than I am?\I don't think that it's so serious. response:	Now that the world is at peace, too much cultivation is of no use.
