context: I have to get some proper rest. response:	Don't disturb me again.
context: to eliminate all divine fungal grass.\I kept a few blades to make an elixir combined with the elixir from my senior.\High God Mo Yuan can have it.\You went to Yingzhou for the divine fungal grass?\Fox King came back with injuries all over him.\It's no wonder that you lost an arm.\I wouldn't have lost my arm\but the Ghost Lord Li Jing and his wife were also in the cave. response:	The beast bit my arm off when I was trying to save them.
context: I kept a few blades to make an elixir combined with the elixir from my senior.\High God Mo Yuan can have it.\You went to Yingzhou for the divine fungal grass?\Fox King came back with injuries all over him.\It's no wonder that you lost an arm.\I wouldn't have lost my arm\but the Ghost Lord Li Jing and his wife were also in the cave.\The beast bit my arm off when I was trying to save them. response:	Ghost Lord is after that grass as well?
context: High God Mo Yuan can have it.\You went to Yingzhou for the divine fungal grass?\Fox King came back with injuries all over him.\It's no wonder that you lost an arm.\I wouldn't have lost my arm\but the Ghost Lord Li Jing and his wife were also in the cave.\The beast bit my arm off when I was trying to save them.\Ghost Lord is after that grass as well? response:	You saved him in the cave?
context: You went to Yingzhou for the divine fungal grass?\Fox King came back with injuries all over him.\It's no wonder that you lost an arm.\I wouldn't have lost my arm\but the Ghost Lord Li Jing and his wife were also in the cave.\The beast bit my arm off when I was trying to save them.\Ghost Lord is after that grass as well?\You saved him in the cave? response:	That was quite unexpected.
context: Fox King came back with injuries all over him.\It's no wonder that you lost an arm.\I wouldn't have lost my arm\but the Ghost Lord Li Jing and his wife were also in the cave.\The beast bit my arm off when I was trying to save them.\Ghost Lord is after that grass as well?\You saved him in the cave?\That was quite unexpected. response:	That aside, you just told me not to tell Qian Qian.
context: It's no wonder that you lost an arm.\I wouldn't have lost my arm\but the Ghost Lord Li Jing and his wife were also in the cave.\The beast bit my arm off when I was trying to save them.\Ghost Lord is after that grass as well?\You saved him in the cave?\That was quite unexpected.\That aside, you just told me not to tell Qian Qian. response:	Since this elixir was given by Lord of Numinous Treasures
context: I wouldn't have lost my arm\but the Ghost Lord Li Jing and his wife were also in the cave.\The beast bit my arm off when I was trying to save them.\Ghost Lord is after that grass as well?\You saved him in the cave?\That was quite unexpected.\That aside, you just told me not to tell Qian Qian.\Since this elixir was given by Lord of Numinous Treasures response:	why can't you tell Qian Qian?
context: but the Ghost Lord Li Jing and his wife were also in the cave.\The beast bit my arm off when I was trying to save them.\Ghost Lord is after that grass as well?\You saved him in the cave?\That was quite unexpected.\That aside, you just told me not to tell Qian Qian.\Since this elixir was given by Lord of Numinous Treasures\why can't you tell Qian Qian? response:	She should thank you.
context: The beast bit my arm off when I was trying to save them.\Ghost Lord is after that grass as well?\You saved him in the cave?\That was quite unexpected.\That aside, you just told me not to tell Qian Qian.\Since this elixir was given by Lord of Numinous Treasures\why can't you tell Qian Qian?\She should thank you. response:	You should know that Qian Qian doesn't like to owe any favors.
context: Ghost Lord is after that grass as well?\You saved him in the cave?\That was quite unexpected.\That aside, you just told me not to tell Qian Qian.\Since this elixir was given by Lord of Numinous Treasures\why can't you tell Qian Qian?\She should thank you.\You should know that Qian Qian doesn't like to owe any favors. response:	If she knows that the elixir is from me
context: You saved him in the cave?\That was quite unexpected.\That aside, you just told me not to tell Qian Qian.\Since this elixir was given by Lord of Numinous Treasures\why can't you tell Qian Qian?\She should thank you.\You should know that Qian Qian doesn't like to owe any favors.\If she knows that the elixir is from me response:	she wouldn't be able to accept it happily and focus on the treatment.
context: That was quite unexpected.\That aside, you just told me not to tell Qian Qian.\Since this elixir was given by Lord of Numinous Treasures\why can't you tell Qian Qian?\She should thank you.\You should know that Qian Qian doesn't like to owe any favors.\If she knows that the elixir is from me\she wouldn't be able to accept it happily and focus on the treatment. response:	High God, you just have to say that you attained the divine fungal grass
context: That aside, you just told me not to tell Qian Qian.\Since this elixir was given by Lord of Numinous Treasures\why can't you tell Qian Qian?\She should thank you.\You should know that Qian Qian doesn't like to owe any favors.\If she knows that the elixir is from me\she wouldn't be able to accept it happily and focus on the treatment.\High God, you just have to say that you attained the divine fungal grass response:	and used your cultivation to create the elixir.
context: Since this elixir was given by Lord of Numinous Treasures\why can't you tell Qian Qian?\She should thank you.\You should know that Qian Qian doesn't like to owe any favors.\If she knows that the elixir is from me\she wouldn't be able to accept it happily and focus on the treatment.\High God, you just have to say that you attained the divine fungal grass\and used your cultivation to create the elixir. response:	Qian Qian is keen on saving Mo Yuan so she won't question it.
context: why can't you tell Qian Qian?\She should thank you.\You should know that Qian Qian doesn't like to owe any favors.\If she knows that the elixir is from me\she wouldn't be able to accept it happily and focus on the treatment.\High God, you just have to say that you attained the divine fungal grass\and used your cultivation to create the elixir.\Qian Qian is keen on saving Mo Yuan so she won't question it. response:	All right, I'll agree to it.
