context: Can't something fun happen for once? response:	Every single day bores me to death.
context: This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame response:	So off I go!
context: osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go! response:	kimeta yo
context: This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo response:	So off I go!
context: osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go! response:	kimeta yo
context: Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo response:	Don't be afraid to try again
context: mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again response:	osorenaide try again
context: Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again response:	Don't be afraid to try again
context: mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again response:	osorenaide try again
context: So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again response:	Keep getting up and fly away
context: kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away response:	nando datte fly away
context: So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away response:	Keep getting up and fly away
context: kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away response:	nando datte fly away
context: Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away response:	It's showtime!
context: osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime! response:	It's showtime!
context: Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime! response:	Oh I don't want to miss a thing
context: osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing response:	Oh I don't want to miss a thing
context: Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing response:	Starting from here
context: nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here response:	kono basho kara
context: Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara response:	Starting from here
context: nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here response:	kono basho kara
context: It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara response:	Little Witch Academia
context: It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia response:	Little Witch Academia
context: Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia response:	This is crazy...
context: Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\This is crazy... response:	So this is that famous, traditional school?
context: Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\This is crazy...\So this is that famous, traditional school? response:	I feel hella out of place here.
context: kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\This is crazy...\So this is that famous, traditional school?\I feel hella out of place here. response:	In trouble won't be the half of it if they find us.
context: Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\This is crazy...\So this is that famous, traditional school?\I feel hella out of place here.\In trouble won't be the half of it if they find us. response:	Metamorphie Vestesse!
context: kono basho kara\Little Witch Academia\Little Witch Academia\This is crazy...\So this is that famous, traditional school?\I feel hella out of place here.\In trouble won't be the half of it if they find us.\Metamorphie Vestesse! response:	I'll take the hit for us and get myself expelled. You don't need to worry.
context: Little Witch Academia\Little Witch Academia\This is crazy...\So this is that famous, traditional school?\I feel hella out of place here.\In trouble won't be the half of it if they find us.\Metamorphie Vestesse!\I'll take the hit for us and get myself expelled. You don't need to worry. response:	That joke isn't funny.
context: Little Witch Academia\This is crazy...\So this is that famous, traditional school?\I feel hella out of place here.\In trouble won't be the half of it if they find us.\Metamorphie Vestesse!\I'll take the hit for us and get myself expelled. You don't need to worry.\That joke isn't funny. response:	Andrew!
context: This is crazy...\So this is that famous, traditional school?\I feel hella out of place here.\In trouble won't be the half of it if they find us.\Metamorphie Vestesse!\I'll take the hit for us and get myself expelled. You don't need to worry.\That joke isn't funny.\Andrew! response:	Lend me that!
context: So this is that famous, traditional school?\I feel hella out of place here.\In trouble won't be the half of it if they find us.\Metamorphie Vestesse!\I'll take the hit for us and get myself expelled. You don't need to worry.\That joke isn't funny.\Andrew!\Lend me that! response:	There you go.
context: I feel hella out of place here.\In trouble won't be the half of it if they find us.\Metamorphie Vestesse!\I'll take the hit for us and get myself expelled. You don't need to worry.\That joke isn't funny.\Andrew!\Lend me that!\There you go. response:	Metamorphie Faciesse!
context: In trouble won't be the half of it if they find us.\Metamorphie Vestesse!\I'll take the hit for us and get myself expelled. You don't need to worry.\That joke isn't funny.\Andrew!\Lend me that!\There you go.\Metamorphie Faciesse! response:	He's the son of some Earl or something, right?
context: Metamorphie Vestesse!\I'll take the hit for us and get myself expelled. You don't need to worry.\That joke isn't funny.\Andrew!\Lend me that!\There you go.\Metamorphie Faciesse!\He's the son of some Earl or something, right? response:	All right, let's go hunt for the Holy Grail!
