context: At the end of the 1990's. response:	Japan has reached the most dangerous depths of economic crisis and depression since World War II.
context: Thank you. And then, conversation again.\And then, conversation again. Oh well, I better go help out in class.\Oh well, I better go help out in class.\Do well with your revenge.\Do well with your revenge. And then, parting.\Do well with your revenge.\Shut up.\And then, askance. response:	Long silence.
context: And then, conversation again. Oh well, I better go help out in class.\Oh well, I better go help out in class.\Do well with your revenge.\Do well with your revenge. And then, parting.\Do well with your revenge.\Shut up.\And then, askance.\Long silence. response:	Long silence.
context: Oh well, I better go help out in class.\Do well with your revenge.\Do well with your revenge. And then, parting.\Do well with your revenge.\Shut up.\And then, askance.\Long silence.\Long silence. response:	Long quiet.
context: Do well with your revenge.\Do well with your revenge. And then, parting.\Do well with your revenge.\Shut up.\And then, askance.\Long silence.\Long silence.\Long quiet. response:	Long quiet.
context: Do well with your revenge. And then, parting.\Do well with your revenge.\Shut up.\And then, askance.\Long silence.\Long silence.\Long quiet.\Long quiet. response:	What is at the end of it.
context: Do well with your revenge.\Shut up.\And then, askance.\Long silence.\Long silence.\Long quiet.\Long quiet.\What is at the end of it. response:	What awaits at the end of it.
context: Shut up.\And then, askance.\Long silence.\Long silence.\Long quiet.\Long quiet.\What is at the end of it.\What awaits at the end of it. response:	Hey, you...
context: And then, askance.\Long silence.\Long silence.\Long quiet.\Long quiet.\What is at the end of it.\What awaits at the end of it.\Hey, you... response:	Hey, you... Breaking of silence.
context: Long silence.\Long silence.\Long quiet.\Long quiet.\What is at the end of it.\What awaits at the end of it.\Hey, you...\Hey, you... Breaking of silence. response:	Breaking of silence.
context: Long silence.\Long quiet.\Long quiet.\What is at the end of it.\What awaits at the end of it.\Hey, you...\Hey, you... Breaking of silence.\Breaking of silence. response:	You're getting too close to Miyazawa.
context: Long quiet.\Long quiet.\What is at the end of it.\What awaits at the end of it.\Hey, you...\Hey, you... Breaking of silence.\Breaking of silence.\You're getting too close to Miyazawa. response:	You're getting too close to Miyazawa. Breaking of complacency.
context: Long quiet.\What is at the end of it.\What awaits at the end of it.\Hey, you...\Hey, you... Breaking of silence.\Breaking of silence.\You're getting too close to Miyazawa.\You're getting too close to Miyazawa. Breaking of complacency. response:	You're getting too close to Miyazawa.
context: What is at the end of it.\What awaits at the end of it.\Hey, you...\Hey, you... Breaking of silence.\Breaking of silence.\You're getting too close to Miyazawa.\You're getting too close to Miyazawa. Breaking of complacency.\You're getting too close to Miyazawa. response:	Chasing after Arima.
context: What awaits at the end of it.\Hey, you...\Hey, you... Breaking of silence.\Breaking of silence.\You're getting too close to Miyazawa.\You're getting too close to Miyazawa. Breaking of complacency.\You're getting too close to Miyazawa.\Chasing after Arima. response:	Chasing after Arima. Breaking all blocks.
context: Hey, you...\Hey, you... Breaking of silence.\Breaking of silence.\You're getting too close to Miyazawa.\You're getting too close to Miyazawa. Breaking of complacency.\You're getting too close to Miyazawa.\Chasing after Arima.\Chasing after Arima. Breaking all blocks. response:	Chasing after Arima.
context: Hey, you... Breaking of silence.\Breaking of silence.\You're getting too close to Miyazawa.\You're getting too close to Miyazawa. Breaking of complacency.\You're getting too close to Miyazawa.\Chasing after Arima.\Chasing after Arima. Breaking all blocks.\Chasing after Arima. response:	You shouldn't casually do things that's not called for.
context: Breaking of silence.\You're getting too close to Miyazawa.\You're getting too close to Miyazawa. Breaking of complacency.\You're getting too close to Miyazawa.\Chasing after Arima.\Chasing after Arima. Breaking all blocks.\Chasing after Arima.\You shouldn't casually do things that's not called for. response:	You shouldn't casually do things that's not called for. Breaking up pressure.
context: You're getting too close to Miyazawa.\You're getting too close to Miyazawa. Breaking of complacency.\You're getting too close to Miyazawa.\Chasing after Arima.\Chasing after Arima. Breaking all blocks.\Chasing after Arima.\You shouldn't casually do things that's not called for.\You shouldn't casually do things that's not called for. Breaking up pressure. response:	You shouldn't casually do things that's not called for.
context: You're getting too close to Miyazawa. Breaking of complacency.\You're getting too close to Miyazawa.\Chasing after Arima.\Chasing after Arima. Breaking all blocks.\Chasing after Arima.\You shouldn't casually do things that's not called for.\You shouldn't casually do things that's not called for. Breaking up pressure.\You shouldn't casually do things that's not called for. response:	Arima really doesn't like it when someone gets too close to Miyazawa, regardless of boy or girl.
context: You're getting too close to Miyazawa.\Chasing after Arima.\Chasing after Arima. Breaking all blocks.\Chasing after Arima.\You shouldn't casually do things that's not called for.\You shouldn't casually do things that's not called for. Breaking up pressure.\You shouldn't casually do things that's not called for.\Arima really doesn't like it when someone gets too close to Miyazawa, regardless of boy or girl. response:	What...Arima-kun?
