context: Our adolescence is the season of love. response:	Our hearts flutter. We feel restless. And we're curious about boys.
context: And why are you the one getting mad?\What are you talking about?\If your friend were getting spoken to like this, you'd be pissed too.\Get out of here.\Hey, let's go.\What's with him?\Kou!\What is it? response:	Nothing.
context: What are you talking about?\If your friend were getting spoken to like this, you'd be pissed too.\Get out of here.\Hey, let's go.\What's with him?\Kou!\What is it?\Nothing. response:	have given up looking for the old Kou.
context: If your friend were getting spoken to like this, you'd be pissed too.\Get out of here.\Hey, let's go.\What's with him?\Kou!\What is it?\Nothing.\have given up looking for the old Kou. response:	Huh?
context: Get out of here.\Hey, let's go.\What's with him?\Kou!\What is it?\Nothing.\have given up looking for the old Kou.\Huh? response:	I want to get to know the new Kou.
context: Hey, let's go.\What's with him?\Kou!\What is it?\Nothing.\have given up looking for the old Kou.\Huh?\I want to get to know the new Kou. response:	Everything that I don't know from the 4 years you were in Nagasaki.
context: What's with him?\Kou!\What is it?\Nothing.\have given up looking for the old Kou.\Huh?\I want to get to know the new Kou.\Everything that I don't know from the 4 years you were in Nagasaki. response:	Hey, why did you come back here?
context: Kou!\What is it?\Nothing.\have given up looking for the old Kou.\Huh?\I want to get to know the new Kou.\Everything that I don't know from the 4 years you were in Nagasaki.\Hey, why did you come back here? response:	This and that.
context: What is it?\Nothing.\have given up looking for the old Kou.\Huh?\I want to get to know the new Kou.\Everything that I don't know from the 4 years you were in Nagasaki.\Hey, why did you come back here?\This and that. response:	Are you living in the same place?
context: Nothing.\have given up looking for the old Kou.\Huh?\I want to get to know the new Kou.\Everything that I don't know from the 4 years you were in Nagasaki.\Hey, why did you come back here?\This and that.\Are you living in the same place? response:	Yeah.
context: have given up looking for the old Kou.\Huh?\I want to get to know the new Kou.\Everything that I don't know from the 4 years you were in Nagasaki.\Hey, why did you come back here?\This and that.\Are you living in the same place?\Yeah. response:	With your mom?
context: Huh?\I want to get to know the new Kou.\Everything that I don't know from the 4 years you were in Nagasaki.\Hey, why did you come back here?\This and that.\Are you living in the same place?\Yeah.\With your mom? response:	No.
context: I want to get to know the new Kou.\Everything that I don't know from the 4 years you were in Nagasaki.\Hey, why did you come back here?\This and that.\Are you living in the same place?\Yeah.\With your mom?\No. response:	- Why? -It doesn't matter, does it?
context: Everything that I don't know from the 4 years you were in Nagasaki.\Hey, why did you come back here?\This and that.\Are you living in the same place?\Yeah.\With your mom?\No.\- Why? -It doesn't matter, does it? response:	It has nothing to do with you.
context: Hey, why did you come back here?\This and that.\Are you living in the same place?\Yeah.\With your mom?\No.\- Why? -It doesn't matter, does it?\It has nothing to do with you. response:	It doesn't have nothing to do with me!
context: This and that.\Are you living in the same place?\Yeah.\With your mom?\No.\- Why? -It doesn't matter, does it?\It has nothing to do with you.\It doesn't have nothing to do with me! response:	Suddenly going away, and then suddenly reappearing...
context: Are you living in the same place?\Yeah.\With your mom?\No.\- Why? -It doesn't matter, does it?\It has nothing to do with you.\It doesn't have nothing to do with me!\Suddenly going away, and then suddenly reappearing... response:	There are actually so many things that I want to ask you!
context: Yeah.\With your mom?\No.\- Why? -It doesn't matter, does it?\It has nothing to do with you.\It doesn't have nothing to do with me!\Suddenly going away, and then suddenly reappearing...\There are actually so many things that I want to ask you! response:	I'm asking you because I haven't sorted it all out in my head yet!
context: With your mom?\No.\- Why? -It doesn't matter, does it?\It has nothing to do with you.\It doesn't have nothing to do with me!\Suddenly going away, and then suddenly reappearing...\There are actually so many things that I want to ask you!\I'm asking you because I haven't sorted it all out in my head yet! response:	Please just... don't step into other people's space any more than you already have.
context: No.\- Why? -It doesn't matter, does it?\It has nothing to do with you.\It doesn't have nothing to do with me!\Suddenly going away, and then suddenly reappearing...\There are actually so many things that I want to ask you!\I'm asking you because I haven't sorted it all out in my head yet!\Please just... don't step into other people's space any more than you already have. response:	Sooo hot!
context: - Why? -It doesn't matter, does it?\It has nothing to do with you.\It doesn't have nothing to do with me!\Suddenly going away, and then suddenly reappearing...\There are actually so many things that I want to ask you!\I'm asking you because I haven't sorted it all out in my head yet!\Please just... don't step into other people's space any more than you already have.\Sooo hot! response:	Is Kou ditching the meeting again?
context: It has nothing to do with you.\It doesn't have nothing to do with me!\Suddenly going away, and then suddenly reappearing...\There are actually so many things that I want to ask you!\I'm asking you because I haven't sorted it all out in my head yet!\Please just... don't step into other people's space any more than you already have.\Sooo hot!\Is Kou ditching the meeting again? response:	Forget that... why in summer vacation, too?
context: It doesn't have nothing to do with me!\Suddenly going away, and then suddenly reappearing...\There are actually so many things that I want to ask you!\I'm asking you because I haven't sorted it all out in my head yet!\Please just... don't step into other people's space any more than you already have.\Sooo hot!\Is Kou ditching the meeting again?\Forget that... why in summer vacation, too? response:	And at your house.
context: Suddenly going away, and then suddenly reappearing...\There are actually so many things that I want to ask you!\I'm asking you because I haven't sorted it all out in my head yet!\Please just... don't step into other people's space any more than you already have.\Sooo hot!\Is Kou ditching the meeting again?\Forget that... why in summer vacation, too?\And at your house. response:	You know, the festival and field trip are soon after the new semester starts.
context: There are actually so many things that I want to ask you!\I'm asking you because I haven't sorted it all out in my head yet!\Please just... don't step into other people's space any more than you already have.\Sooo hot!\Is Kou ditching the meeting again?\Forget that... why in summer vacation, too?\And at your house.\You know, the festival and field trip are soon after the new semester starts. response:	What will happen if we don't do this now?
