context: You can ask me about anything you'd like. I'll do whatever I can to help. response:	This is the broom you're provided with by the school.
context: Magic item cafe?! What's that?\Akko, wanna come?\We'd already be there if we'd taken a broom.\The Sorcerer's Stone's power is weak out here in the village, so we can't use all that much magic.\Hey, what kinda place is the magic item cafe?\They service various magic items, and you're even served tea while you wait.\Cool.\We're here. response:	Here?
context: Akko, wanna come?\We'd already be there if we'd taken a broom.\The Sorcerer's Stone's power is weak out here in the village, so we can't use all that much magic.\Hey, what kinda place is the magic item cafe?\They service various magic items, and you're even served tea while you wait.\Cool.\We're here.\Here? response:	Hm?
context: We'd already be there if we'd taken a broom.\The Sorcerer's Stone's power is weak out here in the village, so we can't use all that much magic.\Hey, what kinda place is the magic item cafe?\They service various magic items, and you're even served tea while you wait.\Cool.\We're here.\Here?\Hm? response:	I'm here to pick up my broom.
context: The Sorcerer's Stone's power is weak out here in the village, so we can't use all that much magic.\Hey, what kinda place is the magic item cafe?\They service various magic items, and you're even served tea while you wait.\Cool.\We're here.\Here?\Hm?\I'm here to pick up my broom. response:	Let's see... right, this one.
context: Hey, what kinda place is the magic item cafe?\They service various magic items, and you're even served tea while you wait.\Cool.\We're here.\Here?\Hm?\I'm here to pick up my broom.\Let's see... right, this one. response:	Sit tight.
context: They service various magic items, and you're even served tea while you wait.\Cool.\We're here.\Here?\Hm?\I'm here to pick up my broom.\Let's see... right, this one.\Sit tight. response:	So where's the cafe?
context: Cool.\We're here.\Here?\Hm?\I'm here to pick up my broom.\Let's see... right, this one.\Sit tight.\So where's the cafe? response:	Not quite what I was imagining.
context: We're here.\Here?\Hm?\I'm here to pick up my broom.\Let's see... right, this one.\Sit tight.\So where's the cafe?\Not quite what I was imagining. response:	Frog's foot juice?
context: Here?\Hm?\I'm here to pick up my broom.\Let's see... right, this one.\Sit tight.\So where's the cafe?\Not quite what I was imagining.\Frog's foot juice? response:	Chameleon tongue candy...
context: Hm?\I'm here to pick up my broom.\Let's see... right, this one.\Sit tight.\So where's the cafe?\Not quite what I was imagining.\Frog's foot juice?\Chameleon tongue candy... response:	Smells like a scam.
context: I'm here to pick up my broom.\Let's see... right, this one.\Sit tight.\So where's the cafe?\Not quite what I was imagining.\Frog's foot juice?\Chameleon tongue candy...\Smells like a scam. response:	A broom?
context: Let's see... right, this one.\Sit tight.\So where's the cafe?\Not quite what I was imagining.\Frog's foot juice?\Chameleon tongue candy...\Smells like a scam.\A broom? response:	Don't I recognize this?
context: Sit tight.\So where's the cafe?\Not quite what I was imagining.\Frog's foot juice?\Chameleon tongue candy...\Smells like a scam.\A broom?\Don't I recognize this? response:	It's the legendary broom, Shooting Star!
context: So where's the cafe?\Not quite what I was imagining.\Frog's foot juice?\Chameleon tongue candy...\Smells like a scam.\A broom?\Don't I recognize this?\It's the legendary broom, Shooting Star! response:	Shooting Star?
context: Not quite what I was imagining.\Frog's foot juice?\Chameleon tongue candy...\Smells like a scam.\A broom?\Don't I recognize this?\It's the legendary broom, Shooting Star!\Shooting Star? response:	They say a witch was able to cross the entire Atlantic Ocean on it.
context: Frog's foot juice?\Chameleon tongue candy...\Smells like a scam.\A broom?\Don't I recognize this?\It's the legendary broom, Shooting Star!\Shooting Star?\They say a witch was able to cross the entire Atlantic Ocean on it. response:	It can fly even without power from the Sorcerer's Stone.
context: Chameleon tongue candy...\Smells like a scam.\A broom?\Don't I recognize this?\It's the legendary broom, Shooting Star!\Shooting Star?\They say a witch was able to cross the entire Atlantic Ocean on it.\It can fly even without power from the Sorcerer's Stone. response:	The legendary broom itself is filled with magic.
context: Smells like a scam.\A broom?\Don't I recognize this?\It's the legendary broom, Shooting Star!\Shooting Star?\They say a witch was able to cross the entire Atlantic Ocean on it.\It can fly even without power from the Sorcerer's Stone.\The legendary broom itself is filled with magic. response:	It truly resembles a shooting star streaking across the sky.
context: A broom?\Don't I recognize this?\It's the legendary broom, Shooting Star!\Shooting Star?\They say a witch was able to cross the entire Atlantic Ocean on it.\It can fly even without power from the Sorcerer's Stone.\The legendary broom itself is filled with magic.\It truly resembles a shooting star streaking across the sky. response:	A broom filled with magic...
context: Don't I recognize this?\It's the legendary broom, Shooting Star!\Shooting Star?\They say a witch was able to cross the entire Atlantic Ocean on it.\It can fly even without power from the Sorcerer's Stone.\The legendary broom itself is filled with magic.\It truly resembles a shooting star streaking across the sky.\A broom filled with magic... response:	I want it.
context: It's the legendary broom, Shooting Star!\Shooting Star?\They say a witch was able to cross the entire Atlantic Ocean on it.\It can fly even without power from the Sorcerer's Stone.\The legendary broom itself is filled with magic.\It truly resembles a shooting star streaking across the sky.\A broom filled with magic...\I want it. response:	Hey, hold it!
context: Shooting Star?\They say a witch was able to cross the entire Atlantic Ocean on it.\It can fly even without power from the Sorcerer's Stone.\The legendary broom itself is filled with magic.\It truly resembles a shooting star streaking across the sky.\A broom filled with magic...\I want it.\Hey, hold it! response:	Get your paws off that.
context: They say a witch was able to cross the entire Atlantic Ocean on it.\It can fly even without power from the Sorcerer's Stone.\The legendary broom itself is filled with magic.\It truly resembles a shooting star streaking across the sky.\A broom filled with magic...\I want it.\Hey, hold it!\Get your paws off that. response:	That thing's been sealed.
context: It can fly even without power from the Sorcerer's Stone.\The legendary broom itself is filled with magic.\It truly resembles a shooting star streaking across the sky.\A broom filled with magic...\I want it.\Hey, hold it!\Get your paws off that.\That thing's been sealed. response:	Sealed?
context: The legendary broom itself is filled with magic.\It truly resembles a shooting star streaking across the sky.\A broom filled with magic...\I want it.\Hey, hold it!\Get your paws off that.\That thing's been sealed.\Sealed? response:	Yep. It's a dangerous broom that'll fly to the ends of the Earth with no reservations about flinging witches off.
context: It truly resembles a shooting star streaking across the sky.\A broom filled with magic...\I want it.\Hey, hold it!\Get your paws off that.\That thing's been sealed.\Sealed?\Yep. It's a dangerous broom that'll fly to the ends of the Earth with no reservations about flinging witches off. response:	But as long as it's got this thing on, we can cage it even if it escapes.
context: A broom filled with magic...\I want it.\Hey, hold it!\Get your paws off that.\That thing's been sealed.\Sealed?\Yep. It's a dangerous broom that'll fly to the ends of the Earth with no reservations about flinging witches off.\But as long as it's got this thing on, we can cage it even if it escapes. response:	This broom brings disaster.
context: I want it.\Hey, hold it!\Get your paws off that.\That thing's been sealed.\Sealed?\Yep. It's a dangerous broom that'll fly to the ends of the Earth with no reservations about flinging witches off.\But as long as it's got this thing on, we can cage it even if it escapes.\This broom brings disaster. response:	If it ever gets out though, the boss will seriously chew me out.
context: Hey, hold it!\Get your paws off that.\That thing's been sealed.\Sealed?\Yep. It's a dangerous broom that'll fly to the ends of the Earth with no reservations about flinging witches off.\But as long as it's got this thing on, we can cage it even if it escapes.\This broom brings disaster.\If it ever gets out though, the boss will seriously chew me out. response:	Is it really that fast?
context: Get your paws off that.\That thing's been sealed.\Sealed?\Yep. It's a dangerous broom that'll fly to the ends of the Earth with no reservations about flinging witches off.\But as long as it's got this thing on, we can cage it even if it escapes.\This broom brings disaster.\If it ever gets out though, the boss will seriously chew me out.\Is it really that fast? response:	There are rumors of it outflying a jet plane.
context: That thing's been sealed.\Sealed?\Yep. It's a dangerous broom that'll fly to the ends of the Earth with no reservations about flinging witches off.\But as long as it's got this thing on, we can cage it even if it escapes.\This broom brings disaster.\If it ever gets out though, the boss will seriously chew me out.\Is it really that fast?\There are rumors of it outflying a jet plane. response:	Please lend me Shooting Star!
