context: I've finally gotten rid of that father and son. response:	I'll find a place to sleep on the north bank tonight.
context: Where is she from? Has she never been to Celestial Palace?\She is Qing Qiu's queen, High Goddess Bai Qian.\What did you say?\Do not tell this to anyone yet.\There are still two things I have yet to figure out.\Why did she not have any celestial aura and was left in the Far East?\Why has she now forgotten about me?\Wait, I need some time. I need to think about this. response:	Where are you going?
context: She is Qing Qiu's queen, High Goddess Bai Qian.\What did you say?\Do not tell this to anyone yet.\There are still two things I have yet to figure out.\Why did she not have any celestial aura and was left in the Far East?\Why has she now forgotten about me?\Wait, I need some time. I need to think about this.\Where are you going? response:	I'm going to see Dong Hua Dijun.
context: What did you say?\Do not tell this to anyone yet.\There are still two things I have yet to figure out.\Why did she not have any celestial aura and was left in the Far East?\Why has she now forgotten about me?\Wait, I need some time. I need to think about this.\Where are you going?\I'm going to see Dong Hua Dijun. response:	He knows best what happened 300 years ago when Qing Cang broke out of the Bell.
context: Do not tell this to anyone yet.\There are still two things I have yet to figure out.\Why did she not have any celestial aura and was left in the Far East?\Why has she now forgotten about me?\Wait, I need some time. I need to think about this.\Where are you going?\I'm going to see Dong Hua Dijun.\He knows best what happened 300 years ago when Qing Cang broke out of the Bell. response:	I'm going to Taichen Palace.
context: There are still two things I have yet to figure out.\Why did she not have any celestial aura and was left in the Far East?\Why has she now forgotten about me?\Wait, I need some time. I need to think about this.\Where are you going?\I'm going to see Dong Hua Dijun.\He knows best what happened 300 years ago when Qing Cang broke out of the Bell.\I'm going to Taichen Palace. response:	Please help me put away the Soul-gathering Lamp.
context: Why did she not have any celestial aura and was left in the Far East?\Why has she now forgotten about me?\Wait, I need some time. I need to think about this.\Where are you going?\I'm going to see Dong Hua Dijun.\He knows best what happened 300 years ago when Qing Cang broke out of the Bell.\I'm going to Taichen Palace.\Please help me put away the Soul-gathering Lamp. response:	Su Su is Bai Qian. Bai Qian is Su Su.
context: Why has she now forgotten about me?\Wait, I need some time. I need to think about this.\Where are you going?\I'm going to see Dong Hua Dijun.\He knows best what happened 300 years ago when Qing Cang broke out of the Bell.\I'm going to Taichen Palace.\Please help me put away the Soul-gathering Lamp.\Su Su is Bai Qian. Bai Qian is Su Su. response:	Then didn't you go through that torment for nothing back then?
context: Wait, I need some time. I need to think about this.\Where are you going?\I'm going to see Dong Hua Dijun.\He knows best what happened 300 years ago when Qing Cang broke out of the Bell.\I'm going to Taichen Palace.\Please help me put away the Soul-gathering Lamp.\Su Su is Bai Qian. Bai Qian is Su Su.\Then didn't you go through that torment for nothing back then? response:	If it was her, you could have just married her
context: Where are you going?\I'm going to see Dong Hua Dijun.\He knows best what happened 300 years ago when Qing Cang broke out of the Bell.\I'm going to Taichen Palace.\Please help me put away the Soul-gathering Lamp.\Su Su is Bai Qian. Bai Qian is Su Su.\Then didn't you go through that torment for nothing back then?\If it was her, you could have just married her response:	with the whole world congratulating you.
context: I'm going to see Dong Hua Dijun.\He knows best what happened 300 years ago when Qing Cang broke out of the Bell.\I'm going to Taichen Palace.\Please help me put away the Soul-gathering Lamp.\Su Su is Bai Qian. Bai Qian is Su Su.\Then didn't you go through that torment for nothing back then?\If it was her, you could have just married her\with the whole world congratulating you. response:	Is Your Highness here to see Dijun?
context: He knows best what happened 300 years ago when Qing Cang broke out of the Bell.\I'm going to Taichen Palace.\Please help me put away the Soul-gathering Lamp.\Su Su is Bai Qian. Bai Qian is Su Su.\Then didn't you go through that torment for nothing back then?\If it was her, you could have just married her\with the whole world congratulating you.\Is Your Highness here to see Dijun? response:	Yes. Is Dijun already in the mortal realm to experience trials?
context: I'm going to Taichen Palace.\Please help me put away the Soul-gathering Lamp.\Su Su is Bai Qian. Bai Qian is Su Su.\Then didn't you go through that torment for nothing back then?\If it was her, you could have just married her\with the whole world congratulating you.\Is Your Highness here to see Dijun?\Yes. Is Dijun already in the mortal realm to experience trials? response:	Yes, he's already left.
context: Please help me put away the Soul-gathering Lamp.\Su Su is Bai Qian. Bai Qian is Su Su.\Then didn't you go through that torment for nothing back then?\If it was her, you could have just married her\with the whole world congratulating you.\Is Your Highness here to see Dijun?\Yes. Is Dijun already in the mortal realm to experience trials?\Yes, he's already left. response:	You have always been by Dijun's side.
context: Su Su is Bai Qian. Bai Qian is Su Su.\Then didn't you go through that torment for nothing back then?\If it was her, you could have just married her\with the whole world congratulating you.\Is Your Highness here to see Dijun?\Yes. Is Dijun already in the mortal realm to experience trials?\Yes, he's already left.\You have always been by Dijun's side. response:	Do you know what happened 300 years ago when Qing Cang broke out of the Bell?
context: Then didn't you go through that torment for nothing back then?\If it was her, you could have just married her\with the whole world congratulating you.\Is Your Highness here to see Dijun?\Yes. Is Dijun already in the mortal realm to experience trials?\Yes, he's already left.\You have always been by Dijun's side.\Do you know what happened 300 years ago when Qing Cang broke out of the Bell? response:	Hasn't the matter been resolved?
context: If it was her, you could have just married her\with the whole world congratulating you.\Is Your Highness here to see Dijun?\Yes. Is Dijun already in the mortal realm to experience trials?\Yes, he's already left.\You have always been by Dijun's side.\Do you know what happened 300 years ago when Qing Cang broke out of the Bell?\Hasn't the matter been resolved? response:	Aunt Bai Qian of Qing Qiu sealed away Qing Cang.
context: with the whole world congratulating you.\Is Your Highness here to see Dijun?\Yes. Is Dijun already in the mortal realm to experience trials?\Yes, he's already left.\You have always been by Dijun's side.\Do you know what happened 300 years ago when Qing Cang broke out of the Bell?\Hasn't the matter been resolved?\Aunt Bai Qian of Qing Qiu sealed away Qing Cang. response:	She was injured and was asleep for many years.
